dataset,method,hn_k,split,recall@1,gt_recall@1,precision@1,f1@1,ndcg@1,recall@3,gt_recall@3,precision@3,f1@3,ndcg@3,recall@5,gt_recall@5,precision@5,f1@5,ndcg@5,recall@10,gt_recall@10,precision@10,f1@10,ndcg@10,recall@20,gt_recall@20,precision@20,f1@20,ndcg@20,mrr,avg_first_hit_pos,median_first_hit_pos,full_coverage@20,avg_gt_partitions,min_gt_partitions,max_gt_partitions,median_gt_partitions,std_gt_partitions,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,total_queries
metaqa,mlp_info_nce_multi_hnm_0,0,train,53.32,24.64,53.32,29.01,53.32,74.16,45.69,40.06,34.34,56.3,82.16,57.45,33.56,33.76,58.8,91.07,74.62,25.19,30.49,62.9,97.4,90.44,17.39,24.54,67.37,66.02,2.97,1.0,75.37,4.25,1,40,2.0,5.57,0.32,0.31,0.33,0.35,285259
metaqa,mlp_info_nce_multi_hnm_0,0,val,46.07,20.13,46.07,23.96,46.07,66.78,39.14,35.56,29.77,48.97,75.44,50.44,30.32,29.99,51.55,85.99,67.8,23.33,27.98,55.87,94.81,85.8,16.66,23.41,61.03,59.23,3.44,1.0,69.4,4.26,1,39,2.0,5.61,0.39,0.32,0.56,1.57,81502
metaqa,mlp_info_nce_multi_hnm_0,0,test,45.76,19.99,45.76,23.8,45.76,66.38,38.82,35.38,29.58,48.65,75.04,49.98,30.16,29.83,51.15,85.86,67.54,23.24,27.93,55.56,94.86,85.67,16.59,23.38,60.79,58.93,3.48,1.0,68.91,4.25,1,39,2.0,5.55,0.32,0.31,0.33,0.36,40752
metaqa,mlp_info_nce_multi_hnm_0,0,test_hop1,29.24,22.95,29.24,24.52,29.24,50.78,41.93,18.76,24.35,36.85,61.74,52.47,14.54,21.39,41.12,76.94,68.81,9.96,16.48,46.78,91.32,86.33,6.53,11.67,51.77,44.1,4.6,2.0,78.99,1.58,1,20,1.0,1.43,0.32,0.31,0.33,0.37,11653
metaqa,mlp_info_nce_multi_hnm_0,0,test_hop2,39.54,20.0,39.54,23.25,39.54,61.0,37.39,29.03,26.94,42.66,70.78,48.04,24.32,26.44,45.7,83.34,65.08,18.4,23.85,50.73,94.06,83.9,13.26,19.71,56.37,53.62,3.88,2.0,66.42,3.49,1,39,2.0,4.6,0.32,0.31,0.33,0.35,14817
metaqa,mlp_info_nce_multi_hnm_0,0,test_hop3,65.71,17.58,65.71,23.8,65.71,84.69,37.75,55.52,36.59,64.49,90.32,49.97,48.96,40.23,64.98,95.74,69.06,39.11,41.5,67.75,98.58,86.98,28.26,36.74,72.73,76.54,2.15,1.0,63.27,7.21,1,38,5.0,7.01,0.32,0.31,0.33,0.35,14282
metaqa,mlp_info_nce_multi_hnm_9,9,train,41.78,19.55,41.78,22.94,41.78,58.66,34.79,31.18,26.42,43.66,66.84,43.49,26.09,26.0,45.39,77.25,58.05,20.33,24.34,49.24,88.57,76.74,15.1,21.24,54.85,53.19,3.68,1.0,60.53,4.25,1,40,2.0,5.57,0.32,0.31,0.33,0.36,285259
metaqa,mlp_info_nce_multi_hnm_9,9,val,36.7,15.82,36.7,18.89,36.7,54.87,31.03,28.91,23.89,39.25,64.18,40.39,24.8,24.38,41.41,75.53,55.79,19.82,23.56,45.65,87.91,75.76,15.04,21.08,51.66,49.15,3.94,2.0,59.18,4.26,1,39,2.0,5.61,0.32,0.31,0.33,0.37,81502
metaqa,mlp_info_nce_multi_hnm_9,9,test,36.73,15.78,36.73,18.87,36.73,54.64,30.74,28.85,23.77,39.08,64.07,40.23,24.81,24.39,41.27,75.61,55.63,19.77,23.56,45.48,87.85,75.5,14.95,21.01,51.47,49.09,3.93,2.0,58.69,4.25,1,39,2.0,5.55,0.32,0.31,0.33,0.35,40752
metaqa,mlp_info_nce_multi_hnm_9,9,test_hop1,20.09,15.91,20.09,16.94,20.09,35.62,29.11,12.98,16.84,25.52,45.04,37.35,10.29,15.16,28.88,59.84,51.33,7.45,12.31,33.73,78.83,71.84,5.45,9.73,39.49,32.15,5.01,3.0,63.54,1.58,1,20,1.0,1.43,0.32,0.31,0.33,0.35,11653
metaqa,mlp_info_nce_multi_hnm_9,9,test_hop2,31.18,16.42,31.18,18.9,31.18,49.27,29.91,22.71,21.28,33.83,59.79,38.72,19.19,20.99,36.56,73.13,53.34,15.16,19.51,41.25,87.02,73.49,11.7,17.35,47.42,44.17,4.32,2.0,55.57,3.49,1,39,2.0,4.6,0.31,0.31,0.33,0.34,14817
metaqa,mlp_info_nce_multi_hnm_9,9,test_hop3,56.07,15.0,56.07,20.42,56.07,75.72,32.92,48.16,32.02,55.58,84.03,44.15,42.49,35.45,56.27,91.05,61.52,34.6,36.94,59.47,96.06,80.58,26.07,34.01,65.46,68.03,2.66,1.0,57.98,7.21,1,38,5.0,7.01,0.31,0.31,0.33,0.34,14282
metaqa,mlp_info_nce_multi_hnm_19,19,train,50.15,22.55,50.15,26.69,50.15,68.84,41.55,37.74,31.7,52.39,76.2,52.26,31.7,31.35,54.51,85.59,68.54,23.95,28.67,58.3,93.98,85.35,16.74,23.52,62.99,61.96,3.23,1.0,69.5,4.25,1,40,2.0,5.57,0.32,0.31,0.34,0.43,285259
metaqa,mlp_info_nce_multi_hnm_19,19,val,44.15,18.79,44.15,22.49,44.15,63.23,36.4,34.2,28.1,46.52,71.44,47.13,29.3,28.56,48.89,81.95,63.81,22.65,26.91,52.98,92.11,82.33,16.31,22.82,58.24,56.56,3.57,1.0,65.71,4.26,1,39,2.0,5.61,0.32,0.31,0.33,0.37,81502
metaqa,mlp_info_nce_multi_hnm_19,19,test,43.24,18.24,43.24,21.87,43.24,63.01,36.21,34.04,27.98,46.1,71.14,46.77,29.11,28.4,48.37,81.95,63.56,22.52,26.81,52.51,92.1,82.27,16.25,22.8,57.88,56.02,3.59,1.0,65.59,4.25,1,39,2.0,5.55,0.32,0.31,0.34,0.39,40752
metaqa,mlp_info_nce_multi_hnm_19,19,test_hop1,25.7,20.04,25.7,21.44,25.7,46.17,38.0,17.12,22.14,33.19,56.39,47.78,13.29,19.52,37.14,71.21,63.19,9.17,15.18,42.45,86.67,81.31,6.17,11.01,47.59,40.02,4.67,2.0,73.97,1.58,1,20,1.0,1.43,0.32,0.31,0.33,0.34,11653
metaqa,mlp_info_nce_multi_hnm_19,19,test_hop2,37.05,18.25,37.05,21.3,37.05,56.81,34.31,27.34,24.95,39.8,65.86,44.13,23.04,24.65,42.53,78.48,60.17,17.47,22.42,47.16,90.92,79.84,12.83,18.99,53.01,50.4,4.05,2.0,62.14,3.49,1,39,2.0,4.6,0.32,0.31,0.33,0.34,14817
metaqa,mlp_info_nce_multi_hnm_19,19,test_hop3,63.98,16.77,63.98,22.81,63.98,83.19,36.73,54.78,35.88,63.18,88.64,48.69,48.31,39.52,63.6,94.31,67.39,38.65,40.86,66.27,97.75,85.56,28.02,36.38,71.33,74.91,2.24,1.0,62.32,7.21,1,38,5.0,7.01,0.32,0.31,0.33,0.35,14282
metaqa,mlp_info_nce_multi_hnm_29,29,train,52.86,24.27,52.86,28.61,52.86,73.5,45.15,39.82,34.02,55.8,81.41,56.79,33.39,33.49,58.26,90.43,73.95,25.11,30.33,62.35,96.97,89.79,17.33,24.43,66.8,65.49,3.0,1.0,74.56,4.25,1,40,2.0,5.57,0.33,0.32,0.38,0.74,285259
metaqa,mlp_info_nce_multi_hnm_29,29,val,45.94,19.99,45.94,23.82,45.94,66.44,38.84,35.52,29.63,48.78,75.0,50.08,30.28,29.88,51.32,85.38,67.32,23.34,27.93,55.61,94.48,85.44,16.66,23.39,60.78,58.98,3.46,1.0,69.1,4.26,1,39,2.0,5.61,0.32,0.31,0.33,0.34,81502
metaqa,mlp_info_nce_multi_hnm_29,29,test,45.47,19.83,45.47,23.6,45.47,66.16,38.74,35.42,29.56,48.54,74.92,50.02,30.21,29.84,51.07,85.63,67.39,23.26,27.92,55.41,94.67,85.53,16.59,23.36,60.62,58.64,3.49,1.0,68.89,4.25,1,39,2.0,5.55,0.32,0.31,0.33,0.35,40752
metaqa,mlp_info_nce_multi_hnm_29,29,test_hop1,28.75,22.75,28.75,24.25,28.75,50.58,41.98,18.8,24.38,36.79,61.79,52.87,14.57,21.47,41.17,77.12,69.13,10.0,16.57,46.79,91.09,86.36,6.55,11.69,51.71,43.79,4.57,2.0,79.34,1.58,1,20,1.0,1.43,0.32,0.31,0.33,0.34,11653
metaqa,mlp_info_nce_multi_hnm_29,29,test_hop2,39.1,19.61,39.1,22.83,39.1,60.54,37.15,29.03,26.84,42.38,70.13,47.66,24.24,26.28,45.3,82.64,64.44,18.32,23.7,50.22,93.6,83.39,13.21,19.63,55.89,53.12,3.9,2.0,65.92,3.49,1,39,2.0,4.6,0.32,0.31,0.33,0.34,14817
metaqa,mlp_info_nce_multi_hnm_29,29,test_hop3,65.72,17.67,65.72,23.87,65.72,84.69,37.74,55.61,36.61,64.53,90.62,50.14,49.16,40.36,65.15,95.66,69.04,39.2,41.56,67.82,98.69,87.06,28.28,36.76,72.79,76.5,2.17,1.0,63.45,7.21,1,38,5.0,7.01,0.32,0.31,0.33,0.35,14282
metaqa,mlp_info_nce_multi_hnm_39,39,train,53.72,24.89,53.72,29.29,53.72,74.53,46.02,40.23,34.54,56.65,82.48,57.81,33.71,33.94,59.16,91.28,74.94,25.26,30.59,63.24,97.52,90.62,17.41,24.57,67.66,66.37,2.95,1.0,75.62,4.25,1,40,2.0,5.57,0.32,0.31,0.33,0.36,285259
metaqa,mlp_info_nce_multi_hnm_39,39,val,46.17,20.22,46.17,24.06,46.17,67.05,39.39,35.73,29.93,49.2,75.66,50.64,30.44,30.11,51.76,86.06,67.91,23.38,28.03,56.04,94.97,85.97,16.69,23.45,61.21,59.38,3.44,1.0,69.5,4.26,1,39,2.0,5.61,0.32,0.31,0.33,0.35,81502
metaqa,mlp_info_nce_multi_hnm_39,39,test,45.64,19.9,45.64,23.68,45.64,66.57,38.92,35.46,29.66,48.72,75.32,50.27,30.28,29.97,51.29,85.85,67.54,23.25,27.93,55.58,94.9,85.71,16.59,23.38,60.81,58.96,3.47,1.0,69.01,4.25,1,39,2.0,5.55,0.32,0.31,0.33,0.34,40752
metaqa,mlp_info_nce_multi_hnm_39,39,test_hop1,29.27,23.09,29.27,24.63,29.27,50.83,41.98,18.73,24.33,36.99,62.34,53.17,14.7,21.64,41.55,76.88,68.85,9.97,16.5,46.98,91.19,86.3,6.53,11.66,51.95,44.28,4.56,2.0,79.18,1.58,1,20,1.0,1.43,0.32,0.31,0.33,0.34,11653
metaqa,mlp_info_nce_multi_hnm_39,39,test_hop2,39.35,19.73,39.35,22.96,39.35,61.27,37.57,29.21,27.11,42.74,70.79,48.03,24.4,26.51,45.65,83.4,65.17,18.44,23.89,50.68,94.25,84.06,13.24,19.7,56.31,53.63,3.9,2.0,66.61,3.49,1,39,2.0,4.6,0.32,0.31,0.33,0.34,14817
metaqa,mlp_info_nce_multi_hnm_39,39,test_hop3,65.54,17.48,65.54,23.67,65.54,84.9,37.83,55.59,36.64,64.49,90.61,50.24,49.1,40.37,65.09,95.71,68.94,39.09,41.44,67.68,98.61,86.95,28.28,36.75,72.69,76.47,2.15,1.0,63.19,7.21,1,38,5.0,7.01,0.32,0.31,0.33,0.35,14282
metaqa,mlp_kl_div_hnm_0,0,train,58.37,31.37,58.37,35.63,58.37,79.58,51.13,39.67,36.25,60.56,87.25,61.61,32.36,33.99,62.79,94.81,76.44,23.79,29.44,66.4,98.98,90.41,16.64,23.68,70.66,70.88,2.58,1.0,74.65,4.25,1,40,2.0,5.57,0.32,0.31,0.33,0.41,285259
metaqa,mlp_kl_div_hnm_0,0,val,48.17,22.89,48.17,26.74,48.17,69.06,41.35,35.09,30.46,50.44,77.66,52.02,29.49,29.9,52.9,87.84,68.48,22.47,27.31,57.07,95.78,85.75,16.22,22.91,62.21,61.28,3.3,1.0,69.01,4.26,1,39,2.0,5.61,0.34,0.32,0.39,0.51,81502
