dataset,method,split,total_queries,avg_pool_size,recall@1,gt_recall@1,precision@1,f1@1,ndcg@1,full_coverage@1,recall@3,gt_recall@3,precision@3,f1@3,ndcg@3,full_coverage@3,recall@5,gt_recall@5,precision@5,f1@5,ndcg@5,full_coverage@5,recall@10,gt_recall@10,precision@10,f1@10,ndcg@10,full_coverage@10,recall@20,gt_recall@20,precision@20,f1@20,ndcg@20,full_coverage@20,recall@50,gt_recall@50,precision@50,f1@50,ndcg@50,full_coverage@50,recall@100,gt_recall@100,precision@100,f1@100,ndcg@100,full_coverage@100,recall@200,gt_recall@200,precision@200,f1@200,ndcg@200,full_coverage@200,recall@500,gt_recall@500,precision@500,f1@500,ndcg@500,full_coverage@500,recall@1000,gt_recall@1000,precision@1000,f1@1000,ndcg@1000,full_coverage@1000,mrr,avg_gt_docs,min_gt_docs,max_gt_docs,median_gt_docs,std_gt_docs,avg_first_hit_pos,median_first_hit_pos,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_l1_latency_ms,avg_l2_latency_ms,p95_l2_latency_ms
squad,no_rerank,train,91223,19035.0,0.1,0.09,0.1,0.09,0.1,0.08,0.3,0.29,0.11,0.15,0.21,0.28,0.48,0.47,0.11,0.17,0.29,0.46,0.94,0.93,0.11,0.19,0.44,0.92,1.83,1.82,0.1,0.19,0.66,1.81,4.07,4.05,0.09,0.18,1.12,4.02,7.87,7.83,0.09,0.18,1.75,7.79,14.73,14.66,0.09,0.17,2.73,14.58,40.69,40.46,0.09,0.18,5.89,40.22,84.78,84.3,0.1,0.19,10.64,83.83,0.65,1.14,1,2,1.0,0.35,433.47,432.0,0.06,0.05,0.1,0.13,1.37,0.06,0.1
squad,no_rerank,val,26063,19035.0,0.12,0.12,0.12,0.12,0.12,0.12,0.32,0.31,0.11,0.16,0.23,0.29,0.5,0.49,0.11,0.17,0.3,0.47,0.83,0.81,0.09,0.17,0.41,0.8,1.62,1.6,0.09,0.17,0.61,1.58,3.59,3.56,0.08,0.16,1.01,3.54,6.7,6.66,0.08,0.15,1.53,6.62,12.25,12.18,0.07,0.14,2.32,12.11,33.0,32.82,0.07,0.15,4.85,32.63,67.43,67.01,0.08,0.15,8.54,66.6,0.59,1.14,1,2,1.0,0.35,340.86,286.0,0.05,0.05,0.06,0.08,1.1,0.05,0.06
squad,no_rerank,test,13033,19035.0,0.08,0.08,0.08,0.08,0.08,0.08,0.25,0.25,0.09,0.13,0.18,0.24,0.38,0.36,0.08,0.13,0.23,0.35,0.7,0.69,0.08,0.14,0.34,0.68,1.51,1.48,0.08,0.16,0.54,1.46,3.57,3.55,0.08,0.16,0.97,3.53,6.54,6.51,0.07,0.15,1.46,6.48,12.12,12.07,0.07,0.14,2.26,12.02,33.87,33.66,0.08,0.15,4.9,33.45,68.78,68.37,0.08,0.15,8.65,67.96,0.54,1.14,1,2,1.0,0.35,346.83,304.0,0.05,0.05,0.06,0.09,1.04,0.05,0.06
squad,bm25,train,91223,19035.0,48.99,45.37,48.99,46.58,48.99,41.75,61.2,56.94,20.55,29.88,53.12,52.69,65.66,61.21,13.27,21.63,54.92,56.75,71.05,66.44,7.22,12.95,56.66,61.84,75.96,71.28,3.88,7.34,57.93,66.6,81.3,76.7,1.68,3.28,59.05,72.1,84.58,80.11,0.88,1.74,59.62,75.64,87.33,83.02,0.46,0.91,60.05,78.7,90.13,86.04,0.19,0.38,60.43,81.96,91.88,88.03,0.1,0.19,60.65,84.18,56.76,1.14,1,2,1.0,0.35,31.77,1.0,90.16,82.53,162.09,216.02,1.37,90.16,162.08
squad,bm25,val,26063,19035.0,48.31,44.74,48.31,45.93,48.31,41.17,60.21,56.0,20.2,29.38,52.31,51.79,64.82,60.42,13.09,21.33,54.17,56.01,70.42,65.79,7.14,12.81,55.96,61.17,75.21,70.57,3.84,7.26,57.2,65.92,80.51,75.93,1.66,3.24,58.31,71.35,83.83,79.41,0.87,1.72,58.9,74.98,86.69,82.38,0.45,0.9,59.33,78.07,89.68,85.57,0.19,0.38,59.73,81.45,91.42,87.54,0.1,0.19,59.95,83.65,56.01,1.14,1,2,1.0,0.35,32.46,1.0,95.25,86.79,174.41,232.26,1.1,95.25,174.41
squad,bm25,test,13033,19035.0,49.23,45.7,49.23,46.87,49.23,42.16,60.99,56.76,20.41,29.72,53.1,52.52,65.77,61.3,13.25,21.61,55.01,56.82,71.12,66.45,7.2,12.93,56.73,61.77,75.86,71.15,3.87,7.31,57.96,66.45,81.69,77.05,1.68,3.29,59.18,72.41,84.82,80.34,0.88,1.74,59.74,75.86,87.39,83.13,0.46,0.91,60.15,78.88,90.52,86.52,0.19,0.38,60.57,82.51,92.26,88.5,0.1,0.2,60.8,84.74,56.85,1.14,1,2,1.0,0.35,32.51,1.0,92.78,84.44,170.04,231.06,1.04,92.78,170.03
squad,faiss_dense,train,91223,19035.0,51.96,48.51,51.96,49.66,51.96,45.06,68.39,64.3,23.11,33.66,58.78,60.22,74.22,69.99,15.16,24.71,61.2,65.77,80.59,76.4,8.32,14.92,63.35,72.2,85.76,81.81,4.48,8.47,64.79,77.86,90.64,87.23,1.93,3.77,65.93,83.81,93.31,90.33,1.0,1.98,66.47,87.36,95.36,92.8,0.52,1.03,66.84,90.25,97.33,95.31,0.21,0.43,67.17,93.3,98.36,96.77,0.11,0.22,67.34,95.19,62.07,1.14,1,2,1.0,0.35,22.47,1.0,15.96,16.03,18.74,20.51,1.37,15.96,18.74
squad,faiss_dense,val,26063,19035.0,52.02,48.7,52.02,49.8,52.02,45.37,68.12,64.11,23.0,33.52,58.71,60.1,73.78,69.59,15.03,24.52,61.04,65.4,80.3,76.08,8.27,14.83,63.23,71.86,85.48,81.49,4.46,8.43,64.66,77.5,90.34,86.89,1.92,3.75,65.8,83.43,93.16,90.18,1.0,1.98,66.38,87.19,95.44,92.83,0.52,1.03,66.77,90.23,97.39,95.32,0.21,0.43,67.1,93.26,98.43,96.82,0.11,0.22,67.27,95.22,61.97,1.14,1,2,1.0,0.35,22.83,1.0,16.34,16.24,17.79,19.59,1.1,16.34,17.79
squad,faiss_dense,test,13033,19035.0,51.66,48.36,51.66,49.46,51.66,45.06,68.23,64.05,22.99,33.5,58.54,59.86,74.33,70.05,15.14,24.7,61.08,65.76,80.73,76.4,8.31,14.91,63.23,72.06,85.98,81.88,4.49,8.48,64.69,77.78,90.85,87.31,1.93,3.77,65.83,83.78,93.55,90.5,1.01,1.99,66.38,87.45,95.56,92.97,0.52,1.03,66.76,90.39,97.51,95.54,0.21,0.43,67.09,93.56,98.57,97.05,0.11,0.22,67.26,95.53,61.89,1.14,1,2,1.0,0.35,22.21,1.0,15.96,15.89,17.04,18.39,1.04,15.96,17.04
squad,colbert,train,91223,19035.0,66.86,63.05,66.86,64.32,66.86,59.24,77.58,73.38,26.18,38.24,70.2,69.18,81.06,76.82,16.53,26.99,71.68,72.57,84.98,80.8,8.75,15.7,73.03,76.62,88.24,84.3,4.6,8.69,73.98,80.37,91.62,88.21,1.94,3.8,74.82,84.8,93.51,90.49,1.0,1.98,75.22,87.48,95.01,92.34,0.51,1.02,75.5,89.66,96.56,94.36,0.21,0.42,75.77,92.16,97.58,95.73,0.11,0.21,75.92,93.88,73.4,1.14,1,2,1.0,0.35,18.83,1.0,36.77,36.49,41.17,42.29,1.37,36.77,41.16
