dataset,method,split,total_queries,recall@1,recall@3,recall@5,recall@10,recall@20,gt_recall@1,gt_recall@3,gt_recall@5,gt_recall@10,gt_recall@20,precision@1,precision@3,precision@5,precision@10,precision@20,f1@1,f1@3,f1@5,f1@10,f1@20,ndcg@1,ndcg@3,ndcg@5,ndcg@10,ndcg@20,mrr,full_coverage@20,avg_gt_partitions,min_gt_partitions,max_gt_partitions,median_gt_partitions,std_gt_partitions,avg_first_hit_pos,median_first_hit_pos,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
2wiki,mlp_info_nce_single,train,10500,23.42,41.9,52.3,66.77,83.29,16.54,30.49,39.39,51.89,68.48,23.42,15.26,12.21,8.34,5.69,18.71,19.65,18.11,14.08,10.38,23.42,27.29,31.39,36.11,41.03,36.86,53.64,1.75,1,4,2.0,0.74,4.73,2.0,0.32,0.32,0.34,0.35
2wiki,mlp_info_nce_single,val,3000,17.57,36.27,47.53,63.27,80.73,11.96,25.87,35.25,48.64,65.73,17.57,13.27,11.06,7.84,5.48,13.76,16.98,16.39,13.26,9.99,17.57,22.44,26.76,31.75,36.81,31.66,50.73,1.75,1,4,2.0,0.73,4.99,3.0,0.32,0.32,0.34,0.35
2wiki,mlp_info_nce_single,test,1500,21.47,39.73,49.4,64.67,80.33,14.88,29.09,37.08,50.06,65.33,21.47,14.58,11.57,8.13,5.45,16.98,18.81,17.17,13.71,9.94,21.47,25.72,29.48,34.36,38.88,34.8,50.53,1.76,1,4,2.0,0.75,4.59,2.0,0.32,0.31,0.34,0.35
2wiki,mlp_info_nce_multi,train,10500,33.13,54.89,64.96,78.45,90.87,23.07,39.91,48.66,61.31,75.46,33.13,20.19,15.13,9.84,6.25,26.24,25.89,22.43,16.63,11.4,33.13,36.54,40.54,45.34,49.58,47.59,59.8,1.75,1,4,2.0,0.74,4.17,2.0,0.32,0.32,0.34,0.35
2wiki,mlp_info_nce_multi,val,3000,21.5,41.9,51.97,67.87,83.47,14.63,30.13,38.8,52.56,68.54,21.5,15.48,12.19,8.47,5.73,16.81,19.76,18.03,14.32,10.45,21.5,26.4,30.36,35.5,40.28,35.89,53.43,1.75,1,4,2.0,0.73,4.71,2.0,0.32,0.32,0.34,0.34
2wiki,mlp_info_nce_multi,test,1500,23.8,44.13,55.0,68.07,84.0,16.02,31.74,41.14,53.7,69.0,23.8,16.33,13.01,8.71,5.8,18.47,20.83,19.2,14.69,10.56,23.8,28.22,32.53,37.27,41.86,38.06,53.53,1.76,1,4,2.0,0.75,4.56,2.0,0.32,0.32,0.34,0.35
2wiki,mlp_kl_div,train,10500,31.79,53.1,63.31,77.91,90.41,22.55,39.36,48.52,62.29,76.9,31.79,19.73,14.98,9.99,6.39,25.47,25.39,22.24,16.88,11.65,31.79,35.83,40.04,45.28,49.68,46.27,62.87,1.75,1,4,2.0,0.74,4.25,2.0,0.32,0.32,0.34,0.34
2wiki,mlp_kl_div,val,3000,22.47,42.03,52.57,67.87,83.3,15.09,30.28,39.19,53.33,68.67,22.47,15.56,12.33,8.61,5.74,17.43,19.86,18.23,14.54,10.46,22.47,26.79,30.88,36.14,40.72,36.61,53.87,1.75,1,4,2.0,0.73,4.64,2.0,0.32,0.32,0.34,0.35
2wiki,mlp_kl_div,test,1500,24.07,43.73,54.4,68.13,83.67,16.29,31.47,40.69,53.63,69.06,24.07,16.11,12.68,8.65,5.77,18.75,20.61,18.81,14.61,10.52,24.07,28.13,32.31,37.18,41.8,38.01,54.47,1.76,1,4,2.0,0.75,4.57,2.0,0.32,0.32,0.34,0.34
2wiki,mlp_bce,train,10500,21.98,40.64,49.57,61.89,77.15,15.17,29.45,37.05,47.2,61.45,21.98,15.05,11.66,7.71,5.18,17.32,19.25,17.24,13.0,9.43,21.98,26.19,29.68,33.56,37.79,34.81,45.88,1.75,1,4,2.0,0.74,4.32,2.0,0.32,0.32,0.34,0.34
2wiki,mlp_bce,val,3000,17.57,36.27,45.53,58.6,74.4,11.82,26.17,33.71,44.6,58.66,17.57,13.4,10.57,7.2,4.89,13.65,17.14,15.66,12.15,8.91,17.57,22.47,25.94,29.99,34.17,30.54,42.97,1.75,1,4,2.0,0.73,4.43,2.0,0.32,0.32,0.34,0.35
2wiki,mlp_bce,test,1500,20.27,38.6,46.47,59.67,75.6,13.76,27.86,34.31,45.47,59.87,20.27,14.36,10.81,7.45,5.07,15.84,18.31,15.98,12.54,9.23,20.27,24.51,27.46,31.74,36.04,32.94,44.13,1.76,1,4,2.0,0.75,4.36,2.0,0.32,0.32,0.34,0.35
