dataset,method,split,total_queries,recall@1,recall@3,recall@5,recall@10,recall@20,gt_recall@1,gt_recall@3,gt_recall@5,gt_recall@10,gt_recall@20,precision@1,precision@3,precision@5,precision@10,precision@20,f1@1,f1@3,f1@5,f1@10,f1@20,ndcg@1,ndcg@3,ndcg@5,ndcg@10,ndcg@20,mrr,full_coverage@20,avg_gt_partitions,min_gt_partitions,max_gt_partitions,median_gt_partitions,std_gt_partitions,avg_first_hit_pos,median_first_hit_pos,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
musique,mlp_info_nce_single,train,13956,99.94,100.0,100.0,100.0,100.0,87.69,91.58,93.14,95.43,97.6,99.94,35.92,22.18,11.55,6.0,91.74,50.62,35.26,20.39,11.23,99.94,93.29,94.07,94.99,95.66,99.97,95.16,1.25,1,3,1.0,0.44,1.0,1.0,0.31,0.31,0.33,0.34
musique,mlp_info_nce_single,val,3987,76.93,88.04,92.25,95.69,98.52,69.65,80.88,85.28,90.27,95.08,76.93,30.97,19.89,10.78,5.8,72.06,44.03,31.79,19.06,10.86,76.93,78.48,80.5,82.38,83.79,83.55,91.6,1.25,1,3,1.0,0.44,1.87,1.0,0.31,0.31,0.33,0.34
musique,mlp_info_nce_single,test,1995,76.69,87.82,92.03,95.69,98.5,69.63,81.09,85.45,90.57,95.03,76.69,30.83,19.85,10.76,5.76,71.98,43.95,31.76,19.04,10.8,76.69,78.5,80.53,82.42,83.74,83.3,91.53,1.24,1,3,1.0,0.44,1.89,1.0,0.31,0.31,0.33,0.33
musique,mlp_info_nce_multi,train,13956,99.99,100.0,100.0,100.0,100.0,87.73,91.25,92.43,94.24,96.75,99.99,35.7,21.9,11.32,5.91,91.78,50.35,34.85,19.99,11.07,99.99,93.08,93.68,94.4,95.18,99.99,93.44,1.25,1,3,1.0,0.44,1.0,1.0,0.31,0.31,0.33,0.34
musique,mlp_info_nce_multi,val,3987,80.41,89.94,93.03,96.21,98.7,72.17,81.8,85.68,90.49,95.15,80.41,31.19,19.96,10.79,5.81,74.91,44.42,31.91,19.08,10.88,80.41,80.18,81.98,83.77,85.16,86.02,91.57,1.25,1,3,1.0,0.44,1.77,1.0,0.31,0.31,0.33,0.34
musique,mlp_info_nce_multi,test,1995,81.65,90.33,93.58,96.59,98.75,73.6,82.28,86.14,90.48,95.28,81.65,31.28,19.95,10.68,5.77,76.27,44.59,31.94,18.92,10.82,81.65,81.01,82.8,84.4,85.83,86.87,91.78,1.24,1,3,1.0,0.44,1.7,1.0,0.31,0.31,0.33,0.33
musique,mlp_kl_div,train,13956,99.89,100.0,100.0,100.0,100.0,87.67,99.69,99.91,99.99,100.0,99.89,41.4,24.94,12.48,6.24,91.71,57.15,39.17,21.93,11.67,99.89,99.65,99.76,99.79,99.8,99.94,99.99,1.25,1,3,1.0,0.44,1.0,1.0,0.31,0.31,0.33,0.34
musique,mlp_kl_div,val,3987,79.76,89.82,93.1,96.79,98.97,71.96,82.98,86.96,92.02,96.18,79.76,31.93,20.44,11.07,5.89,74.55,45.31,32.6,19.55,11.03,79.76,80.87,82.74,84.63,85.86,85.7,93.35,1.25,1,3,1.0,0.44,1.77,1.0,0.31,0.31,0.33,0.34
musique,mlp_kl_div,test,1995,80.8,90.13,93.23,96.64,99.0,73.12,83.85,87.53,92.51,96.57,80.8,32.36,20.53,11.11,5.9,75.67,45.88,32.77,19.63,11.05,80.8,81.89,83.57,85.41,86.6,86.3,94.09,1.24,1,3,1.0,0.44,1.76,1.0,0.31,0.31,0.33,0.34
musique,mlp_bce,train,13956,98.45,99.84,99.96,100.0,100.0,86.42,98.48,99.38,99.84,99.96,98.45,40.64,24.73,12.46,6.24,90.4,56.22,38.88,21.89,11.67,98.45,98.1,98.56,98.74,98.78,99.14,99.93,1.25,1,3,1.0,0.44,1.02,1.0,0.31,0.31,0.33,0.34
musique,mlp_bce,val,3987,78.15,89.01,92.73,96.11,98.62,70.39,82.2,86.34,91.12,95.59,78.15,31.63,20.29,10.93,5.85,72.96,44.89,32.36,19.31,10.95,78.15,79.7,81.63,83.41,84.73,84.47,92.5,1.25,1,3,1.0,0.44,1.81,1.0,0.31,0.31,0.33,0.33
musique,mlp_bce,test,1995,79.1,89.32,92.78,96.14,98.95,71.32,82.96,87.42,91.61,96.22,79.1,31.9,20.54,10.96,5.87,73.9,45.28,32.76,19.38,11.0,79.1,80.63,82.7,84.27,85.63,85.18,93.43,1.24,1,3,1.0,0.44,1.83,1.0,0.31,0.31,0.33,0.34
