dataset,method,split,total_queries,recall@1,recall@3,recall@5,recall@10,recall@20,gt_recall@1,gt_recall@3,gt_recall@5,gt_recall@10,gt_recall@20,precision@1,precision@3,precision@5,precision@10,precision@20,f1@1,f1@3,f1@5,f1@10,f1@20,ndcg@1,ndcg@3,ndcg@5,ndcg@10,ndcg@20,mrr,full_coverage@20,avg_gt_partitions,min_gt_partitions,max_gt_partitions,median_gt_partitions,std_gt_partitions,avg_first_hit_pos,median_first_hit_pos,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
squad,mlp_info_nce_single,train,91223,79.87,93.77,97.14,99.45,100.0,79.41,93.45,96.92,99.36,100.0,79.87,31.44,19.59,10.06,5.06,79.56,46.98,32.55,18.25,9.64,79.87,87.91,89.37,90.19,90.36,87.33,100.0,1.01,1,2,1.0,0.11,1.5,1.0,0.31,0.3,0.32,0.33
squad,mlp_info_nce_single,val,26063,67.21,84.61,90.52,96.76,100.0,66.77,84.24,90.19,96.6,100.0,67.21,28.36,18.24,9.79,5.07,66.92,42.37,30.3,17.75,9.65,67.21,77.19,79.67,81.77,82.66,77.41,100.0,1.01,1,2,1.0,0.12,2.26,1.0,0.31,0.3,0.32,0.33
squad,mlp_info_nce_single,test,13033,68.01,85.22,90.94,96.82,100.0,67.64,84.89,90.69,96.69,100.0,68.01,28.56,18.33,9.79,5.07,67.76,42.68,30.46,17.76,9.64,68.01,77.93,80.34,82.32,83.18,78.05,100.0,1.01,1,2,1.0,0.12,2.21,1.0,0.31,0.3,0.32,0.33
squad,mlp_info_nce_multi,train,91223,79.91,93.7,97.05,99.44,100.0,79.44,93.33,96.78,99.32,100.0,79.91,31.39,19.55,10.05,5.06,79.6,46.92,32.5,18.24,9.64,79.91,87.85,89.3,90.15,90.33,87.32,100.0,1.01,1,2,1.0,0.11,1.51,1.0,0.31,0.3,0.32,0.33
squad,mlp_info_nce_multi,val,26063,67.05,84.57,90.48,96.72,100.0,66.62,84.23,90.19,96.58,100.0,67.05,28.36,18.25,9.78,5.07,66.76,42.37,30.31,17.75,9.65,67.05,77.13,79.6,81.71,82.61,77.32,100.0,1.01,1,2,1.0,0.12,2.26,1.0,0.3,0.3,0.32,0.33
squad,mlp_info_nce_multi,test,13033,68.28,85.25,90.99,96.97,100.0,67.87,84.91,90.73,96.87,100.0,68.28,28.57,18.34,9.81,5.07,68.01,42.69,30.47,17.8,9.64,68.28,78.03,80.44,82.46,83.28,78.18,100.0,1.01,1,2,1.0,0.12,2.21,1.0,0.3,0.3,0.32,0.33
squad,mlp_kl_div,train,91223,81.68,94.47,97.57,99.53,100.0,81.23,94.16,97.36,99.46,100.0,81.68,31.68,19.68,10.07,5.06,81.38,47.34,32.7,18.27,9.64,81.68,89.1,90.44,91.14,91.29,88.54,100.0,1.01,1,2,1.0,0.11,1.45,1.0,0.32,0.3,0.36,0.55
squad,mlp_kl_div,val,26063,67.5,84.81,90.62,96.89,100.0,67.07,84.44,90.32,96.71,100.0,67.5,28.43,18.26,9.79,5.07,67.22,42.47,30.35,17.77,9.65,67.5,77.46,79.9,82.0,82.86,77.66,100.0,1.01,1,2,1.0,0.12,2.24,1.0,0.3,0.3,0.32,0.33
squad,mlp_kl_div,test,13033,68.23,85.51,91.28,96.92,100.0,67.82,85.2,91.03,96.78,100.0,68.23,28.67,18.4,9.8,5.07,67.96,42.84,30.58,17.78,9.64,68.23,78.16,80.59,82.47,83.31,78.21,100.0,1.01,1,2,1.0,0.12,2.2,1.0,0.3,0.3,0.32,0.33
squad,mlp_bce,train,91223,84.02,95.98,98.3,99.69,100.0,83.49,95.75,98.18,99.66,100.0,84.02,32.26,19.87,10.09,5.06,83.67,48.19,33.0,18.31,9.64,84.02,91.02,92.04,92.53,92.62,90.27,100.0,1.01,1,2,1.0,0.11,1.35,1.0,0.31,0.3,0.32,0.33
squad,mlp_bce,val,26063,67.99,84.96,90.48,96.26,100.0,67.55,84.6,90.16,96.08,100.0,67.99,28.48,18.23,9.73,5.07,67.7,42.55,30.29,17.66,9.65,67.99,77.76,80.07,82.01,83.03,77.92,100.0,1.01,1,2,1.0,0.12,2.28,1.0,0.31,0.3,0.32,0.33
squad,mlp_bce,test,13033,68.66,85.18,90.58,96.59,100.0,68.24,84.83,90.31,96.45,100.0,68.66,28.54,18.25,9.76,5.07,68.38,42.65,30.33,17.71,9.64,68.66,78.16,80.43,82.45,83.38,78.35,100.0,1.01,1,2,1.0,0.12,2.24,1.0,0.3,0.3,0.32,0.33
