dataset,method,tau,split,total_queries,recall@1,recall@3,recall@5,recall@10,recall@20,gt_recall@1,gt_recall@3,gt_recall@5,gt_recall@10,gt_recall@20,precision@1,precision@3,precision@5,precision@10,precision@20,f1@1,f1@3,f1@5,f1@10,f1@20,ndcg@1,ndcg@3,ndcg@5,ndcg@10,ndcg@20,mrr,full_coverage@20,avg_gt_partitions,min_gt_partitions,max_gt_partitions,median_gt_partitions,std_gt_partitions,avg_first_hit_pos,median_first_hit_pos,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
musique,mlp_info_nce_multi_tau_0.01,0.01,train,13956,95.82,99.1,99.6,99.89,100.0,84.59,90.11,91.89,94.23,96.85,95.82,35.06,21.71,11.31,5.92,88.31,49.55,34.58,19.99,11.09,95.82,90.9,91.78,92.7,93.51,97.5,93.67,1.25,1,3,1.0,0.44,1.09,1.0,0.29,0.29,0.32,0.34
musique,mlp_info_nce_multi_tau_0.01,0.01,val,3987,75.22,88.39,92.2,96.46,98.92,67.75,80.42,84.69,90.53,95.39,75.22,30.73,19.72,10.79,5.82,70.23,43.73,31.53,19.09,10.9,75.22,77.45,79.41,81.55,82.98,82.76,91.85,1.25,1,3,1.0,0.44,1.91,1.0,0.3,0.29,0.32,0.33
musique,mlp_info_nce_multi_tau_0.01,0.01,test,1995,75.99,88.37,92.68,97.04,99.05,68.93,81.06,85.89,91.41,95.91,75.99,30.78,19.92,10.85,5.82,71.28,43.9,31.89,19.2,10.91,75.99,78.22,80.45,82.46,83.8,83.3,92.78,1.24,1,3,1.0,0.44,1.86,1.0,0.29,0.29,0.32,0.33
musique,mlp_info_nce_multi_tau_0.05,0.05,train,13956,99.99,100.0,100.0,100.0,100.0,87.73,91.37,92.56,94.35,96.76,99.99,35.77,21.94,11.34,5.91,91.78,50.45,34.92,20.03,11.07,99.99,93.17,93.77,94.49,95.23,99.99,93.46,1.25,1,3,1.0,0.44,1.0,1.0,0.29,0.29,0.32,0.33
musique,mlp_info_nce_multi_tau_0.05,0.05,val,3987,81.01,89.89,93.7,96.79,98.82,72.68,81.87,86.16,91.1,95.28,81.01,31.31,20.15,10.9,5.82,75.45,44.54,32.18,19.27,10.89,81.01,80.47,82.48,84.31,85.55,86.44,91.7,1.25,1,3,1.0,0.44,1.71,1.0,0.3,0.29,0.32,0.33
musique,mlp_info_nce_multi_tau_0.05,0.05,test,1995,81.2,90.33,93.33,96.79,98.85,73.38,82.69,86.32,91.25,95.66,81.2,31.5,19.95,10.8,5.8,75.98,44.87,31.96,19.13,10.87,81.2,81.21,82.87,84.72,86.03,86.66,92.48,1.24,1,3,1.0,0.44,1.71,1.0,0.3,0.29,0.32,0.33
musique,mlp_info_nce_multi_tau_0.07,0.07,train,13956,99.99,100.0,100.0,100.0,100.0,87.73,91.24,92.38,94.27,96.65,99.99,35.69,21.88,11.32,5.9,91.79,50.35,34.83,20.0,11.06,99.99,93.09,93.67,94.42,95.15,100.0,93.25,1.25,1,3,1.0,0.44,1.0,1.0,0.3,0.29,0.32,0.33
musique,mlp_info_nce_multi_tau_0.07,0.07,val,3987,80.56,89.97,93.45,96.49,98.82,72.38,81.86,85.85,90.34,95.02,80.56,31.25,20.01,10.75,5.79,75.09,44.49,31.98,19.02,10.85,80.56,80.3,82.15,83.84,85.22,86.17,91.2,1.25,1,3,1.0,0.44,1.75,1.0,0.3,0.3,0.32,0.33
musique,mlp_info_nce_multi_tau_0.07,0.07,test,1995,81.25,90.03,93.38,96.74,98.8,73.17,82.42,86.32,91.08,95.46,81.25,31.36,20.04,10.81,5.79,75.86,44.69,32.06,19.13,10.85,81.25,80.89,82.7,84.46,85.76,86.51,92.08,1.24,1,3,1.0,0.44,1.71,1.0,0.29,0.29,0.32,0.33
musique,mlp_info_nce_multi_tau_0.1,0.1,train,13956,99.89,100.0,100.0,100.0,100.0,87.65,91.18,92.39,94.25,96.56,99.89,35.65,21.88,11.32,5.89,91.7,50.3,34.83,19.99,11.04,99.89,93.0,93.61,94.35,95.07,99.94,93.06,1.25,1,3,1.0,0.44,1.0,1.0,0.3,0.29,0.32,0.33
musique,mlp_info_nce_multi_tau_0.1,0.1,val,3987,78.98,88.71,92.05,95.59,98.34,70.9,80.84,84.83,89.57,94.62,78.98,30.9,19.73,10.66,5.77,73.58,43.97,31.56,18.87,10.81,78.98,79.06,80.9,82.65,84.13,84.8,90.82,1.25,1,3,1.0,0.44,1.84,1.0,0.3,0.29,0.33,0.34
