dataset,method,split,recall@1,gt_recall@1,precision@1,f1@1,ndcg@1,recall@3,gt_recall@3,precision@3,f1@3,ndcg@3,recall@5,gt_recall@5,precision@5,f1@5,ndcg@5,recall@10,gt_recall@10,precision@10,f1@10,ndcg@10,recall@20,gt_recall@20,precision@20,f1@20,ndcg@20,mrr,avg_first_hit_pos,median_first_hit_pos,full_coverage@1,full_coverage@3,full_coverage@5,full_coverage@10,full_coverage@20,full_coverage@50,avg_weakest_positive_rank,median_weakest_positive_rank,avg_gt_partitions,median_gt_partitions,total_queries
2wiki,kl_div_frozen,train,35.84,25.59,35.84,28.83,35.84,58.49,43.56,21.81,28.07,39.89,69.22,53.26,16.43,24.4,44.34,82.5,66.57,10.64,17.99,49.42,93.15,80.35,6.67,12.18,53.62,50.91,6.08,3.0,16.3,30.09,38.7,51.41,67.09,92.92,17.67,10.0,1.75,2.0,10500
2wiki,kl_div_frozen,val,22.5,15.43,22.5,17.7,22.5,42.6,30.69,15.77,20.14,27.14,53.87,40.04,12.6,18.63,31.45,69.07,53.84,8.71,14.71,36.61,84.13,69.43,5.8,10.58,41.26,37.43,10.51,5.0,8.83,20.0,27.57,39.5,54.4,85.37,25.31,17.0,1.75,2.0,3000
2wiki,kl_div_frozen,test,25.07,17.08,25.07,19.58,25.07,42.93,31.23,16.02,20.46,28.33,54.8,41.08,12.89,19.06,32.82,68.93,54.12,8.76,14.78,37.75,84.27,69.92,5.84,10.65,42.47,39.08,10.43,5.0,9.93,20.87,28.87,40.6,55.53,85.53,25.32,16.0,1.76,2.0,1500
2wiki,kl_div_baseline,train,32.76,23.26,32.76,26.25,32.76,54.75,40.64,20.38,26.22,36.95,65.19,49.99,15.45,22.94,41.24,78.75,63.44,10.16,17.18,46.35,90.99,77.73,6.45,11.77,50.67,47.71,6.99,3.0,14.67,27.9,36.26,48.97,64.08,91.46,19.18,11.0,1.75,2.0,10500
2wiki,kl_div_baseline,val,21.5,14.81,21.5,16.94,21.5,42.2,30.25,15.5,19.82,26.53,53.13,39.89,12.5,18.51,30.94,68.1,53.27,8.61,14.54,35.99,83.33,68.72,5.75,10.48,40.62,36.64,10.65,5.0,8.67,19.43,27.77,39.17,53.77,85.1,25.57,18.0,1.75,2.0,3000
2wiki,kl_div_baseline,test,23.47,16.22,23.47,18.49,23.47,43.4,31.66,16.04,20.59,28.05,55.27,41.61,13.0,19.25,32.63,68.47,53.72,8.67,14.65,37.23,83.93,69.63,5.81,10.59,41.97,38.15,10.75,5.0,9.73,21.2,29.27,40.2,55.4,85.0,25.33,17.0,1.76,2.0,1500
2wiki,kl_div_baseline__final,train,44.26,31.65,44.26,35.63,44.26,67.17,50.57,25.3,32.58,47.19,77.25,60.31,18.63,27.66,51.68,88.54,72.92,11.7,19.78,56.55,96.43,85.13,7.09,12.94,60.32,58.79,4.49,2.0,20.21,35.54,44.88,58.02,73.16,95.23,14.67,7.0,1.75,2.0,10500
2wiki,kl_div_baseline__final,val,22.37,15.48,22.37,17.68,22.37,43.03,30.99,15.8,20.24,27.28,53.63,40.01,12.5,18.52,31.45,69.4,53.94,8.74,14.76,36.72,84.87,69.74,5.82,10.62,41.4,37.45,10.67,5.0,9.13,20.13,27.77,39.2,54.33,84.63,26.19,18.0,1.75,2.0,3000
2wiki,kl_div_baseline__final,test,24.13,16.36,24.13,18.81,24.13,43.93,31.92,16.11,20.68,28.44,56.53,42.24,13.24,19.58,33.19,70.67,55.06,8.92,15.05,38.05,84.33,69.56,5.81,10.6,42.37,39.07,10.57,4.0,9.33,21.27,29.47,40.8,54.73,84.47,25.83,16.0,1.76,2.0,1500
2wiki,coverage_kl_lam_0.1,train,26.33,18.85,26.33,21.22,26.33,46.74,34.72,17.37,22.38,31.06,56.9,43.68,13.51,20.06,35.19,72.0,57.08,9.16,15.48,40.26,86.45,72.82,6.06,11.05,44.97,41.0,9.05,4.0,12.01,23.81,31.66,43.22,58.98,89.46,21.53,15.0,1.75,2.0,10500
