dataset,method,split,recall@1,gt_recall@1,precision@1,f1@1,ndcg@1,recall@3,gt_recall@3,precision@3,f1@3,ndcg@3,recall@5,gt_recall@5,precision@5,f1@5,ndcg@5,recall@10,gt_recall@10,precision@10,f1@10,ndcg@10,recall@20,gt_recall@20,precision@20,f1@20,ndcg@20,mrr,avg_first_hit_pos,median_first_hit_pos,full_coverage@1,full_coverage@3,full_coverage@5,full_coverage@10,full_coverage@20,full_coverage@50,avg_weakest_positive_rank,median_weakest_positive_rank,avg_gt_partitions,median_gt_partitions,total_queries
musique,kl_div_frozen,train,99.35,87.37,99.35,91.34,99.35,99.93,98.56,40.63,56.24,98.53,99.99,99.49,24.76,38.92,99.01,99.99,99.87,12.46,21.89,99.16,100.0,99.98,6.24,11.67,99.2,99.64,1.01,1.0,75.56,97.16,98.95,99.73,99.96,100.0,1.39,1.0,1.25,1.0,13956
musique,kl_div_frozen,val,78.81,71.29,78.81,73.79,78.81,90.12,82.99,31.96,45.35,80.6,93.91,87.58,20.63,32.89,82.74,96.81,92.22,11.1,19.61,84.47,99.1,96.36,5.91,11.07,85.69,85.36,2.02,1.0,63.86,75.92,81.19,87.61,93.63,100.0,4.51,1.0,1.25,1.0,3987
musique,kl_div_frozen,test,80.3,72.87,80.3,75.34,80.3,90.83,84.03,32.21,45.79,81.83,93.33,87.53,20.47,32.7,83.46,97.64,92.66,11.06,19.55,85.36,99.3,96.97,5.93,11.1,86.67,86.32,1.92,1.0,65.46,77.34,81.75,87.67,94.59,100.0,4.25,1.0,1.24,1.0,1995
musique,kl_div_baseline,train,99.49,87.45,99.49,91.44,99.49,99.98,98.97,40.9,56.56,98.86,100.0,99.55,24.79,38.96,99.17,100.0,99.9,12.47,21.9,99.31,100.0,99.98,6.24,11.67,99.33,99.73,1.01,1.0,75.59,97.91,99.07,99.79,99.96,100.0,1.37,1.0,1.25,1.0,13956
musique,kl_div_baseline,val,79.93,72.06,79.93,74.68,79.93,90.49,83.53,32.23,45.7,81.27,93.6,87.49,20.62,32.87,83.12,97.22,92.17,11.09,19.59,84.87,98.85,96.23,5.91,11.06,86.08,86.03,2.02,1.0,64.26,76.6,81.36,87.11,93.6,100.0,4.52,1.0,1.25,1.0,3987
musique,kl_div_baseline,test,79.85,72.36,79.85,74.85,79.85,90.68,83.81,32.13,45.67,81.51,93.78,87.6,20.54,32.79,83.3,97.09,92.43,11.05,19.54,85.1,99.1,96.56,5.9,11.05,86.33,86.06,2.01,1.0,64.91,77.04,81.5,87.77,93.93,100.0,4.35,1.0,1.24,1.0,1995
musique,kl_div_baseline__final,train,99.78,87.61,99.78,91.64,99.78,99.99,99.52,41.28,57.01,99.45,100.0,99.8,24.89,39.11,99.6,100.0,99.97,12.48,21.93,99.67,100.0,100.0,6.24,11.67,99.68,99.89,1.0,1.0,75.62,99.0,99.57,99.93,100.0,100.0,1.3,1.0,1.25,1.0,13956
musique,kl_div_baseline__final,val,79.71,71.88,79.71,74.48,79.71,90.37,83.43,32.2,45.65,81.18,93.38,87.3,20.6,32.82,83.01,97.09,92.16,11.1,19.6,84.81,98.8,96.1,5.9,11.04,85.98,85.92,2.04,1.0,64.11,76.52,81.21,87.21,93.38,100.0,4.54,1.0,1.25,1.0,3987
musique,kl_div_baseline__final,test,80.45,72.78,80.45,75.33,80.45,90.43,83.86,32.15,45.69,81.69,93.58,87.81,20.58,32.86,83.55,97.04,92.51,11.07,19.57,85.3,99.05,96.54,5.9,11.05,86.5,86.27,2.02,1.0,65.16,77.39,82.11,87.97,93.93,100.0,4.32,1.0,1.24,1.0,1995
musique,coverage_kl_lam_0.1,train,99.69,87.58,99.69,91.59,99.69,99.97,99.59,41.32,57.07,99.5,100.0,99.89,24.93,39.16,99.66,100.0,99.98,12.48,21.93,99.69,100.0,100.0,6.24,11.67,99.7,99.83,1.0,1.0,75.64,99.15,99.76,99.96,99.99,100.0,1.29,1.0,1.25,1.0,13956
musique,coverage_kl_lam_0.1,val,79.33,71.42,79.33,74.05,79.33,89.89,82.98,32.08,45.45,80.66,93.13,87.15,20.55,32.75,82.61,96.81,92.17,11.1,19.61,84.47,98.9,96.15,5.9,11.05,85.66,85.46,2.08,1.0,63.58,76.1,81.16,87.53,93.38,100.0,4.49,1.0,1.25,1.0,3987
musique,coverage_kl_lam_0.1,test,80.7,73.12,80.7,75.64,80.7,90.38,84.06,32.2,45.78,81.91,93.78,88.1,20.65,32.97,83.83,97.34,93.03,11.14,19.69,85.66,99.2,96.63,5.89,11.04,86.73,86.39,1.95,1.0,65.56,77.84,82.46,88.67,93.98,100.0,4.26,1.0,1.24,1.0,1995
musique,coverage_kl_lam_0.1__final,train,99.81,87.64,99.81,91.67,99.81,99.99,99.72,41.41,57.17,99.66,100.0,99.92,24.94,39.17,99.77,100.0,99.99,12.48,21.93,99.8,100.0,100.0,6.24,11.67,99.8,99.89,1.0,1.0,75.64,99.39,99.82,99.96,99.99,100.0,1.28,1.0,1.25,1.0,13956
musique,coverage_kl_lam_0.1__final,val,79.43,71.51,79.43,74.14,79.43,89.89,83.19,32.16,45.57,80.82,92.98,86.99,20.5,32.68,82.59,96.74,92.2,11.11,19.63,84.53,98.85,96.18,5.91,11.06,85.71,85.46,2.11,1.0,63.66,76.52,80.99,87.66,93.5,100.0,4.49,1.0,1.25,1.0,3987
musique,coverage_kl_lam_0.1__final,test,80.5,72.87,80.5,75.41,80.5,90.43,84.11,32.25,45.83,81.9,93.88,88.18,20.67,33.0,83.82,97.39,93.02,11.13,19.67,85.61,99.05,96.57,5.89,11.04,86.68,86.34,1.96,1.0,65.26,77.89,82.51,88.57,94.04,100.0,4.26,1.0,1.24,1.0,1995
musique,coverage_kl_lam_0.25,train,99.2,87.31,99.2,91.25,99.2,99.95,98.98,40.9,56.57,98.81,99.99,99.67,24.83,39.03,99.17,100.0,99.95,12.48,21.92,99.29,100.0,100.0,6.24,11.67,99.3,99.56,1.01,1.0,75.58,97.97,99.33,99.89,100.0,100.0,1.34,1.0,1.25,1.0,13956
musique,coverage_kl_lam_0.25,val,77.9,70.44,77.9,72.92,77.9,89.19,82.32,31.69,44.97,79.75,92.9,86.93,20.46,32.62,81.89,97.17,92.32,11.11,19.62,83.9,98.9,96.1,5.89,11.03,85.03,84.5,2.09,1.0,63.05,75.5,80.94,87.46,93.3,100.0,4.6,1.0,1.25,1.0,3987
musique,coverage_kl_lam_0.25,test,79.2,71.67,79.2,74.17,79.2,90.18,83.66,32.1,45.61,81.12,93.83,87.91,20.58,32.86,83.1,97.19,92.72,11.09,19.61,84.88,99.15,96.68,5.9,11.06,86.07,85.64,1.99,1.0,64.21,77.19,82.11,88.22,94.14,100.0,4.29,1.0,1.24,1.0,1995
musique,coverage_kl_lam_0.25__final,train,99.81,87.64,99.81,91.67,99.81,99.99,99.79,41.46,57.23,99.72,99.99,99.97,24.96,39.21,99.82,100.0,100.0,12.49,21.94,99.83,100.0,100.0,6.24,11.67,99.83,99.9,1.0,1.0,75.64,99.55,99.94,99.99,100.0,100.0,1.27,1.0,1.25,1.0,13956
musique,coverage_kl_lam_0.25__final,val,78.53,70.88,78.53,73.42,78.53,89.82,82.87,31.99,45.34,80.33,93.08,86.92,20.46,32.62,82.21,97.04,92.34,11.13,19.65,84.22,98.9,96.05,5.89,11.02,85.32,84.99,2.09,1.0,63.31,75.95,80.74,87.63,93.2,100.0,4.6,1.0,1.25,1.0,3987
musique,coverage_kl_lam_0.25__final,test,80.1,72.42,80.1,74.97,80.1,90.38,83.83,32.21,45.75,81.54,93.68,87.94,20.6,32.89,83.45,96.89,92.75,11.1,19.63,85.26,98.95,96.57,5.9,11.05,86.4,86.09,1.99,1.0,64.81,77.34,82.26,88.57,94.09,100.0,4.29,1.0,1.24,1.0,1995
musique,coverage_kl_lam_0.5,train,99.11,87.24,99.11,91.17,99.11,99.93,99.21,41.06,56.76,98.98,99.97,99.81,24.89,39.11,99.29,100.0,99.98,12.48,21.93,99.36,100.0,100.0,6.24,11.67,99.37,99.51,1.01,1.0,75.54,98.43,99.62,99.94,100.0,100.0,1.32,1.0,1.25,1.0,13956
musique,coverage_kl_lam_0.5,val,78.08,70.34,78.08,72.91,78.08,89.64,82.6,31.92,45.23,80.05,93.3,87.1,20.55,32.74,82.14,96.99,92.12,11.09,19.59,84.0,99.07,96.51,5.93,11.1,85.31,84.84,2.03,1.0,62.68,75.55,80.89,87.23,93.93,100.0,4.48,1.0,1.25,1.0,3987
musique,coverage_kl_lam_0.5,test,78.7,71.4,78.7,73.83,78.7,89.27,82.77,31.81,45.17,80.49,93.63,87.89,20.64,32.93,82.85,96.74,92.39,11.06,19.55,84.51,99.1,96.59,5.9,11.05,85.77,85.1,2.04,1.0,64.16,76.29,82.21,88.07,94.09,100.0,4.29,1.0,1.24,1.0,1995
musique,coverage_kl_lam_0.5__final,train,99.79,87.63,99.79,91.65,99.79,99.98,99.82,41.49,57.25,99.74,100.0,99.97,24.96,39.2,99.82,100.0,100.0,12.49,21.94,99.83,100.0,100.0,6.24,11.67,99.83,99.89,1.0,1.0,75.64,99.63,99.92,99.99,100.0,100.0,1.27,1.0,1.25,1.0,13956
musique,coverage_kl_lam_0.5__final,val,78.81,70.97,78.81,73.57,78.81,89.64,82.62,31.94,45.25,80.35,93.43,87.31,20.63,32.86,82.53,96.99,92.09,11.09,19.58,84.28,98.95,96.35,5.92,11.07,85.54,85.23,2.06,1.0,63.21,75.6,81.19,87.18,93.73,100.0,4.5,1.0,1.25,1.0,3987
musique,coverage_kl_lam_0.5__final,test,79.35,71.87,79.35,74.35,79.35,90.03,83.64,32.23,45.72,81.19,93.18,87.77,20.64,32.92,83.12,96.79,92.61,11.12,19.64,84.91,98.95,96.46,5.89,11.04,86.05,85.51,2.06,1.0,64.46,77.29,82.36,88.42,93.98,100.0,4.25,1.0,1.24,1.0,1995
musique,coverage_kl_lam_1,train,97.94,86.57,97.94,90.34,97.94,99.75,98.38,40.49,56.08,97.97,99.89,99.45,24.74,38.89,98.52,100.0,99.9,12.47,21.9,98.71,100.0,100.0,6.24,11.67,98.74,98.83,1.03,1.0,75.37,96.99,98.98,99.79,100.0,100.0,1.39,1.0,1.25,1.0,13956
musique,coverage_kl_lam_1,val,77.88,70.34,77.88,72.84,77.88,89.49,82.57,31.85,45.16,79.96,93.3,87.35,20.61,32.84,82.18,97.07,92.17,11.09,19.58,83.96,99.07,96.39,5.92,11.08,85.22,84.7,2.06,1.0,62.88,75.67,81.36,87.21,93.68,100.0,4.51,1.0,1.25,1.0,3987
musique,coverage_kl_lam_1,test,77.79,70.66,77.79,73.03,77.79,89.67,83.04,31.91,45.32,80.22,93.13,87.39,20.43,32.64,82.21,96.94,92.41,11.05,19.54,84.09,99.1,96.86,5.92,11.09,85.42,84.55,2.07,1.0,63.56,76.54,81.7,87.97,94.59,100.0,4.26,1.0,1.24,1.0,1995
musique,coverage_kl_lam_1__final,train,99.33,87.39,99.33,91.34,99.33,99.96,99.6,41.33,57.07,99.42,99.99,99.93,24.94,39.18,99.6,100.0,99.99,12.49,21.94,99.62,100.0,100.0,6.24,11.67,99.63,99.63,1.01,1.0,75.6,99.2,99.86,99.99,100.0,100.0,1.28,1.0,1.25,1.0,13956
