
### 2WIKI Exhaustive Metrics
**Method: MLP + INFO_NCE_MULTI**
| HNM_k | R@1 | P@1 | F1@1 | NDCG@1 | R@20 | P@20 | F1@20 | NDCG@20 | MRR |
|---|---|---|---|---|---|---|---|---|---|
| 0 | 23.80 | 23.80 | 18.43 | 23.80 | 83.00 | 5.81 | 10.58 | 41.82 | 37.89 |
| 37 | 21.87 | 21.87 | 16.76 | 21.87 | 81.67 | 5.68 | 10.35 | 40.22 | 36.18 |
| 74 | 23.53 | 23.53 | 18.43 | 23.53 | 82.60 | 5.73 | 10.44 | 41.57 | 37.78 |
| 111 | 22.67 | 22.67 | 17.60 | 22.67 | 83.00 | 5.71 | 10.41 | 41.21 | 37.19 |
| 149 | 23.20 | 23.20 | 18.02 | 23.20 | 83.47 | 5.81 | 10.58 | 41.61 | 37.60 |

**Method: MLP + KL_DIV**
| HNM_k | R@1 | P@1 | F1@1 | NDCG@1 | R@20 | P@20 | F1@20 | NDCG@20 | MRR |
|---|---|---|---|---|---|---|---|---|---|
| 0 | 22.93 | 22.93 | 18.02 | 22.93 | 82.80 | 5.81 | 10.58 | 41.49 | 37.23 |
| 37 | 22.80 | 22.80 | 17.85 | 22.80 | 81.47 | 5.64 | 10.27 | 40.39 | 36.37 |
| 74 | 23.20 | 23.20 | 18.25 | 23.20 | 82.13 | 5.63 | 10.27 | 41.13 | 37.25 |
| 111 | 23.80 | 23.80 | 18.67 | 23.80 | 82.53 | 5.74 | 10.45 | 41.62 | 37.67 |
| 149 | 25.07 | 25.07 | 19.58 | 25.07 | 84.27 | 5.84 | 10.65 | 42.47 | 38.59 |


### METAQA Exhaustive Metrics
**Method: MLP + INFO_NCE_MULTI**
| HNM_k | R@1 | P@1 | F1@1 | NDCG@1 | R@20 | P@20 | F1@20 | NDCG@20 | MRR |
|---|---|---|---|---|---|---|---|---|---|
| 0 | 45.76 | 45.76 | 23.80 | 45.76 | 94.86 | 16.59 | 23.38 | 60.79 | 58.93 |
| 9 | 36.73 | 36.73 | 18.87 | 36.73 | 87.85 | 14.95 | 21.01 | 51.47 | 49.09 |
| 19 | 43.24 | 43.24 | 21.87 | 43.24 | 92.10 | 16.25 | 22.80 | 57.88 | 56.02 |
| 29 | 45.47 | 45.47 | 23.60 | 45.47 | 94.67 | 16.59 | 23.36 | 60.62 | 58.64 |
| 39 | 45.64 | 45.64 | 23.68 | 45.64 | 94.90 | 16.59 | 23.38 | 60.81 | 58.96 |

**Method: MLP + KL_DIV**
| HNM_k | R@1 | P@1 | F1@1 | NDCG@1 | R@20 | P@20 | F1@20 | NDCG@20 | MRR |
|---|---|---|---|---|---|---|---|---|---|
| 0 | 48.07 | 48.07 | 26.67 | 48.07 | 95.80 | 16.15 | 22.87 | 62.08 | 61.24 |
| 9 | 37.50 | 37.50 | 19.55 | 37.50 | 87.81 | 14.68 | 20.67 | 51.12 | 49.53 |
| 19 | 43.27 | 43.27 | 23.29 | 43.27 | 92.11 | 15.51 | 21.90 | 57.18 | 55.95 |
| 29 | 47.25 | 47.25 | 26.06 | 47.25 | 95.48 | 16.02 | 22.70 | 61.42 | 60.49 |
| 39 | 47.76 | 47.76 | 26.47 | 47.76 | 95.69 | 16.12 | 22.83 | 61.86 | 61.00 |


### MUSIQUE Exhaustive Metrics
**Method: MLP + INFO_NCE_MULTI**
| HNM_k | R@1 | P@1 | F1@1 | NDCG@1 | R@20 | P@20 | F1@20 | NDCG@20 | MRR |
|---|---|---|---|---|---|---|---|---|---|
| 0 | 76.74 | 76.74 | 71.87 | 76.74 | 99.20 | 5.93 | 11.11 | 84.92 | 83.91 |
| 11 | 76.84 | 76.84 | 71.95 | 76.84 | 99.30 | 5.94 | 11.13 | 85.31 | 84.19 |
| 22 | 77.94 | 77.94 | 72.76 | 77.94 | 99.15 | 5.92 | 11.09 | 85.35 | 84.61 |
| 33 | 76.49 | 76.49 | 71.75 | 76.49 | 99.35 | 5.95 | 11.14 | 85.06 | 83.92 |
| 45 | 76.24 | 76.24 | 71.43 | 76.24 | 99.15 | 5.94 | 11.12 | 84.92 | 83.77 |

**Method: MLP + KL_DIV**
| HNM_k | R@1 | P@1 | F1@1 | NDCG@1 | R@20 | P@20 | F1@20 | NDCG@20 | MRR |
|---|---|---|---|---|---|---|---|---|---|
| 0 | 78.70 | 78.70 | 73.84 | 78.70 | 99.15 | 5.92 | 11.08 | 86.01 | 85.22 |
| 11 | 79.00 | 79.00 | 74.08 | 79.00 | 99.20 | 5.93 | 11.10 | 86.07 | 85.46 |
| 22 | 79.65 | 79.65 | 74.62 | 79.65 | 99.15 | 5.92 | 11.09 | 86.35 | 85.73 |
| 33 | 80.30 | 80.30 | 75.34 | 80.30 | 99.30 | 5.93 | 11.10 | 86.67 | 86.29 |
| 45 | 79.05 | 79.05 | 74.08 | 79.05 | 99.25 | 5.93 | 11.11 | 85.86 | 85.24 |


### SQUAD Exhaustive Metrics
**Method: MLP + INFO_NCE_MULTI**
| HNM_k | R@1 | P@1 | F1@1 | NDCG@1 | R@20 | P@20 | F1@20 | NDCG@20 | MRR |
|---|---|---|---|---|---|---|---|---|---|
| 0 | 69.02 | 69.02 | 68.76 | 69.02 | 100.00 | 5.07 | 9.64 | 83.63 | 78.66 |
| 4 | 68.70 | 68.70 | 68.42 | 68.70 | 100.00 | 5.07 | 9.64 | 83.25 | 78.21 |
| 9 | 68.48 | 68.48 | 68.21 | 68.48 | 100.00 | 5.07 | 9.64 | 83.28 | 78.20 |
| 13 | 68.43 | 68.43 | 68.16 | 68.43 | 100.00 | 5.07 | 9.64 | 83.36 | 78.30 |
| 18 | 68.87 | 68.87 | 68.61 | 68.87 | 100.00 | 5.07 | 9.64 | 83.59 | 78.59 |

**Method: MLP + KL_DIV**
| HNM_k | R@1 | P@1 | F1@1 | NDCG@1 | R@20 | P@20 | F1@20 | NDCG@20 | MRR |
|---|---|---|---|---|---|---|---|---|---|
| 0 | 69.23 | 69.23 | 68.96 | 69.23 | 100.00 | 5.07 | 9.64 | 83.83 | 78.93 |
| 4 | 67.88 | 67.88 | 67.62 | 67.88 | 100.00 | 5.07 | 9.64 | 82.82 | 77.64 |
