
--- 2WIKI ---
  mlp_kl_div_tau_0.07: MRR = 38.75
  mlp_info_nce_multi_tau_0.07: MRR = 38.39
  mlp_info_nce_multi_tau_0.1: MRR = 37.87
  mlp_kl_div_tau_0.01: MRR = 37.31
  mlp_info_nce_multi_tau_0.05: MRR = 37.12
  mlp_kl_div_tau_0.1: MRR = 37.00
  mlp_kl_div_tau_0.05: MRR = 36.44
  mlp_info_nce_multi_tau_0.01: MRR = 36.07
  mlp_kl_div_tau_0.2: MRR = 35.18
  mlp_info_nce_multi_tau_0.2: MRR = 35.05
  mlp_kl_div_tau_0.5: MRR = 33.19
  mlp_info_nce_multi_tau_0.5: MRR = 32.59
WINNER: mlp_kl_div_tau_0.07 (MRR: 38.75)

--- METAQA ---
  mlp_info_nce_multi_tau_0.01: MRR = 62.63
  mlp_info_nce_multi_tau_0.05: MRR = 61.84
  mlp_kl_div_tau_0.01: MRR = 60.97
  mlp_kl_div_tau_0.05: MRR = 60.74
  mlp_info_nce_multi_tau_0.07: MRR = 60.65
  mlp_kl_div_tau_0.07: MRR = 60.53
  mlp_kl_div_tau_0.1: MRR = 59.75
  mlp_info_nce_multi_tau_0.1: MRR = 59.48
  mlp_kl_div_tau_0.2: MRR = 57.74
  mlp_info_nce_multi_tau_0.2: MRR = 56.83
  mlp_kl_div_tau_0.5: MRR = 56.22
  mlp_info_nce_multi_tau_0.5: MRR = 55.66
WINNER: mlp_info_nce_multi_tau_0.01 (MRR: 62.63)

--- MUSIQUE ---
  mlp_info_nce_multi_tau_0.05: MRR = 86.66
  mlp_info_nce_multi_tau_0.07: MRR = 86.51
  mlp_kl_div_tau_0.05: MRR = 85.56
  mlp_info_nce_multi_tau_0.1: MRR = 85.39
  mlp_kl_div_tau_0.07: MRR = 84.91
  mlp_kl_div_tau_0.1: MRR = 84.86
  mlp_info_nce_multi_tau_0.01: MRR = 83.30
  mlp_kl_div_tau_0.01: MRR = 83.00
  mlp_info_nce_multi_tau_0.2: MRR = 82.18
  mlp_kl_div_tau_0.2: MRR = 82.08
  mlp_kl_div_tau_0.5: MRR = 81.28
  mlp_info_nce_multi_tau_0.5: MRR = 80.84
WINNER: mlp_info_nce_multi_tau_0.05 (MRR: 86.66)

--- SQUAD ---
  mlp_kl_div_tau_0.1: MRR = 78.80
  mlp_info_nce_multi_tau_0.1: MRR = 78.58
  mlp_kl_div_tau_0.07: MRR = 78.26
  mlp_info_nce_multi_tau_0.01: MRR = 78.15
  mlp_info_nce_multi_tau_0.05: MRR = 77.94
  mlp_kl_div_tau_0.05: MRR = 77.90
  mlp_kl_div_tau_0.01: MRR = 77.87
  mlp_kl_div_tau_0.2: MRR = 77.78
  mlp_info_nce_multi_tau_0.07: MRR = 77.67
  mlp_info_nce_multi_tau_0.2: MRR = 77.58
  mlp_info_nce_multi_tau_0.5: MRR = 76.58
  mlp_kl_div_tau_0.5: MRR = 76.39
WINNER: mlp_kl_div_tau_0.1 (MRR: 78.80)
