dataset,method,split,recall@1,gt_recall@1,precision@1,f1@1,ndcg@1,recall@3,gt_recall@3,precision@3,f1@3,ndcg@3,recall@5,gt_recall@5,precision@5,f1@5,ndcg@5,recall@10,gt_recall@10,precision@10,f1@10,ndcg@10,recall@20,gt_recall@20,precision@20,f1@20,ndcg@20,mrr,avg_first_hit_pos,median_first_hit_pos,full_coverage@1,full_coverage@3,full_coverage@5,full_coverage@10,full_coverage@20,full_coverage@50,avg_weakest_positive_rank,median_weakest_positive_rank,avg_gt_partitions,median_gt_partitions,total_queries
squad,kl_div_frozen,train,85.73,85.25,85.73,85.41,85.73,96.69,96.4,32.44,48.48,92.08,98.72,98.53,19.92,33.1,92.98,99.83,99.77,10.1,18.33,93.41,100.0,100.0,5.06,9.64,93.47,91.4,1.29,1.0,84.77,96.11,98.35,99.71,100.0,100.0,1.34,1.0,1.01,1.0,91223
squad,kl_div_frozen,val,68.1,67.68,68.1,67.82,68.1,84.8,84.44,28.42,42.47,77.7,90.57,90.26,18.25,30.33,80.12,96.64,96.47,9.77,17.73,82.16,100.0,100.0,5.07,9.65,83.09,77.96,2.25,1.0,67.25,84.08,89.96,96.31,100.0,100.0,2.32,1.0,1.01,1.0,26063
squad,kl_div_frozen,test,69.42,69.01,69.42,69.15,69.42,85.54,85.22,28.67,42.85,78.67,91.21,90.95,18.39,30.55,81.06,96.63,96.49,9.77,17.72,82.88,100.0,100.0,5.07,9.64,83.8,78.89,2.19,1.0,68.6,84.89,90.69,96.34,100.0,100.0,2.26,1.0,1.01,1.0,13033
squad,kl_div_baseline,train,86.09,85.6,86.09,85.76,86.09,96.76,96.48,32.48,48.52,92.29,98.72,98.55,19.93,33.11,93.17,99.83,99.78,10.1,18.33,93.58,100.0,100.0,5.06,9.64,93.64,91.63,1.29,1.0,85.11,96.2,98.39,99.73,100.0,100.0,1.33,1.0,1.01,1.0,91223
squad,kl_div_baseline,val,68.13,67.7,68.13,67.84,68.13,85.1,84.73,28.52,42.62,77.87,90.61,90.32,18.27,30.35,80.2,96.66,96.5,9.78,17.74,82.24,100.0,100.0,5.07,9.65,83.15,78.04,2.24,1.0,67.27,84.35,90.03,96.35,100.0,100.0,2.31,1.0,1.01,1.0,26063
squad,kl_div_baseline,test,69.08,68.66,69.08,68.8,69.08,85.61,85.29,28.69,42.88,78.59,91.21,90.97,18.39,30.55,80.94,96.92,96.75,9.79,17.77,82.84,100.0,100.0,5.07,9.64,83.69,78.73,2.19,1.0,68.23,84.96,90.72,96.59,100.0,100.0,2.25,1.0,1.01,1.0,13033
squad,kl_div_baseline__final,train,88.76,88.25,88.76,88.42,88.76,97.67,97.4,32.79,48.99,93.93,99.14,98.99,20.02,33.27,94.6,99.89,99.84,10.11,18.34,94.9,100.0,100.0,5.06,9.64,94.94,93.34,1.22,1.0,87.75,97.13,98.84,99.8,100.0,100.0,1.26,1.0,1.01,1.0,91223
squad,kl_div_baseline__final,val,68.86,68.42,68.86,68.56,68.86,85.11,84.72,28.53,42.62,78.17,90.57,90.27,18.26,30.33,80.47,96.59,96.45,9.77,17.73,82.5,100.0,100.0,5.07,9.65,83.43,78.44,2.24,1.0,67.98,84.34,89.96,96.3,100.0,100.0,2.31,1.0,1.01,1.0,26063
squad,kl_div_baseline__final,test,69.39,68.97,69.39,69.11,69.39,85.6,85.25,28.69,42.87,78.69,91.31,91.05,18.41,30.58,81.1,96.8,96.65,9.78,17.75,82.94,100.0,100.0,5.07,9.64,83.82,78.9,2.18,1.0,68.56,84.91,90.8,96.5,100.0,100.0,2.25,1.0,1.01,1.0,13033
squad,coverage_kl_lam_0.1,train,81.57,81.11,81.57,81.26,81.57,94.69,94.4,31.77,47.47,89.18,97.65,97.47,19.71,32.74,90.47,99.59,99.54,10.08,18.28,91.16,100.0,100.0,5.06,9.64,91.29,88.52,1.44,1.0,80.65,94.11,97.29,99.48,100.0,100.0,1.48,1.0,1.01,1.0,91223
