dataset,method,split,recall@1,gt_recall@1,precision@1,f1@1,ndcg@1,recall@3,gt_recall@3,precision@3,f1@3,ndcg@3,recall@5,gt_recall@5,precision@5,f1@5,ndcg@5,recall@10,gt_recall@10,precision@10,f1@10,ndcg@10,recall@20,gt_recall@20,precision@20,f1@20,ndcg@20,mrr,avg_first_hit_pos,median_first_hit_pos,full_coverage@1,full_coverage@3,full_coverage@5,full_coverage@10,full_coverage@20,full_coverage@50,full_coverage@100,full_coverage@200,avg_weakest_positive_rank,median_weakest_positive_rank,avg_gt_partitions,median_gt_partitions,total_queries
metaqa,kl_div_baseline,train,27.9,15.09,27.9,17.07,27.9,43.58,26.91,19.93,18.59,30.43,50.52,32.95,16.26,17.3,32.02,60.4,41.83,12.06,14.81,34.5,70.7,51.56,8.76,12.1,37.33,38.94,26.27,5.0,11.05,19.71,24.66,32.4,42.27,54.06,64.24,73.84,112.46,38.0,6.11,2.0,8000
metaqa,kl_div_baseline,val,17.05,6.41,17.05,7.96,17.05,29.98,15.1,14.68,11.82,19.1,35.7,19.7,12.53,11.97,20.12,45.04,27.8,9.99,11.55,22.35,55.6,37.72,7.63,10.26,25.26,26.77,57.16,14.0,3.34,9.19,12.74,19.48,29.88,42.26,51.05,62.24,151.06,91.0,6.26,2.0,8000
metaqa,kl_div_baseline,test,17.11,6.68,17.11,8.23,17.11,30.05,15.59,14.57,12.05,19.18,36.15,20.44,12.42,12.19,20.34,45.34,28.16,9.84,11.56,22.53,55.27,37.7,7.47,10.17,25.4,26.83,58.59,14.0,3.61,9.65,13.08,19.23,29.34,42.56,51.46,62.58,150.36,89.0,5.87,2.0,8000
metaqa,kl_div_baseline__final,train,55.33,38.34,55.33,41.38,55.33,70.83,50.69,30.6,32.26,55.92,77.06,56.12,22.96,26.83,57.07,85.64,63.51,15.59,20.29,59.03,92.35,70.95,10.56,15.09,61.3,65.4,6.33,1.0,31.59,41.46,45.88,51.98,60.08,67.56,74.36,80.6,82.8,9.0,6.11,2.0,8000
metaqa,kl_div_baseline__final,val,16.74,6.43,16.74,7.93,16.74,29.03,14.57,14.03,11.29,18.48,35.5,19.47,12.16,11.68,19.69,44.92,27.55,9.73,11.29,21.96,55.33,37.46,7.49,10.1,24.88,26.34,58.47,15.0,3.5,8.9,12.47,18.84,30.04,41.49,51.0,61.76,153.85,91.0,6.26,2.0,8000
metaqa,kl_div_baseline__final,test,16.74,6.64,16.74,8.13,16.74,29.29,14.91,13.96,11.48,18.48,35.4,19.94,12.09,11.82,19.82,44.46,27.48,9.56,11.18,21.93,54.9,37.5,7.37,10.02,24.93,26.25,58.59,15.0,3.67,9.07,12.69,18.36,29.5,41.6,51.38,62.16,152.31,89.0,5.87,2.0,8000
metaqa,coverage_kl_lam_0.1,train,27.69,14.92,27.69,16.93,27.69,43.9,27.2,19.91,18.65,30.5,51.49,33.51,16.4,17.51,32.26,61.44,42.58,12.18,14.99,34.83,71.3,52.11,8.78,12.16,37.59,39.12,25.93,5.0,10.78,20.12,25.05,32.77,42.85,54.41,64.31,73.39,112.8,37.0,6.11,2.0,8000
metaqa,coverage_kl_lam_0.1,val,17.72,6.71,17.72,8.3,17.72,29.98,15.28,14.84,11.93,19.47,35.98,20.02,12.7,12.11,20.52,45.66,28.36,10.16,11.75,22.81,55.77,37.88,7.66,10.31,25.58,27.17,57.39,14.0,3.61,9.49,12.88,19.61,29.93,42.36,51.86,62.42,150.95,87.0,6.26,2.0,8000
metaqa,coverage_kl_lam_0.1,test,18.06,7.14,18.06,8.75,18.06,30.33,15.86,14.72,12.2,19.67,36.16,20.49,12.58,12.25,20.79,45.45,28.62,9.91,11.64,23.03,55.64,38.17,7.5,10.21,25.87,27.46,58.51,14.0,3.94,9.89,13.16,19.8,30.08,42.34,51.85,62.28,150.16,83.0,5.87,2.0,8000
metaqa,coverage_kl_lam_0.1__final,train,54.86,38.18,54.86,41.15,54.86,70.53,50.61,30.47,32.18,55.67,76.96,56.23,23.06,26.91,57.01,85.41,63.69,15.79,20.46,59.1,92.15,71.15,10.64,15.16,61.31,65.04,6.51,1.0,31.6,41.49,45.95,52.14,60.31,67.71,74.33,80.38,82.42,8.0,6.11,2.0,8000
metaqa,coverage_kl_lam_0.1__final,val,17.38,6.76,17.38,8.26,17.38,28.46,14.43,14.02,11.3,18.54,35.59,19.35,12.33,11.73,19.84,44.51,27.35,9.85,11.34,22.05,55.19,37.0,7.58,10.16,24.92,26.5,58.15,15.0,3.85,8.74,12.15,18.7,29.53,41.54,51.12,61.96,153.27,90.0,6.26,2.0,8000
metaqa,coverage_kl_lam_0.1__final,test,17.04,6.46,17.04,7.97,17.04,29.6,15.0,14.07,11.54,18.62,35.71,19.94,12.17,11.83,19.88,45.51,28.25,9.76,11.43,22.24,55.69,38.21,7.47,10.16,25.18,26.62,58.26,14.0,3.5,9.21,12.69,19.36,30.28,42.2,51.98,62.16,151.72,84.0,5.87,2.0,8000
metaqa,coverage_kl_lam_0.25,train,26.36,13.94,26.36,15.89,26.36,41.48,25.48,19.09,17.69,28.85,49.34,32.03,15.86,16.89,30.7,59.8,41.13,11.92,14.64,33.35,70.33,50.83,8.57,11.88,36.15,37.44,28.89,6.0,9.91,18.61,23.91,31.6,41.19,53.21,62.91,72.55,116.19,41.0,6.11,2.0,8000
metaqa,coverage_kl_lam_0.25,val,17.41,6.49,17.41,8.07,17.41,30.01,15.35,14.75,11.94,19.34,36.12,19.99,12.69,12.14,20.4,45.0,28.1,10.02,11.63,22.58,55.17,37.38,7.52,10.15,25.28,26.95,57.02,15.0,3.43,9.55,12.83,19.7,29.28,42.19,51.64,62.69,150.66,87.0,6.26,2.0,8000
metaqa,coverage_kl_lam_0.25,test,17.41,6.74,17.41,8.32,17.41,30.65,16.05,14.85,12.35,19.58,36.41,20.77,12.61,12.38,20.7,45.88,28.94,9.92,11.72,22.96,55.3,37.93,7.43,10.13,25.65,27.14,58.07,14.0,3.64,10.08,13.48,20.24,29.5,42.08,51.56,62.72,150.43,86.0,5.87,2.0,8000
metaqa,coverage_kl_lam_0.25__final,train,53.33,37.21,53.33,40.02,53.33,69.5,50.07,30.04,31.77,54.77,76.64,55.94,22.78,26.68,56.22,84.82,63.19,15.54,20.2,58.22,91.74,70.8,10.55,15.06,60.54,63.88,6.9,1.0,31.01,41.26,45.77,51.73,60.15,67.67,74.83,80.71,81.97,9.0,6.11,2.0,8000
metaqa,coverage_kl_lam_0.25__final,val,17.16,6.59,17.16,8.08,17.16,28.78,14.48,14.0,11.25,18.54,35.15,19.44,12.19,11.68,19.77,44.6,27.31,9.71,11.23,21.92,55.07,37.19,7.52,10.11,24.86,26.43,57.5,15.0,3.7,8.92,12.61,18.77,30.08,41.81,51.84,61.75,152.76,85.0,6.26,2.0,8000
metaqa,coverage_kl_lam_0.25__final,test,16.79,6.55,16.79,8.05,16.79,29.11,14.83,13.83,11.42,18.38,35.81,19.74,11.97,11.69,19.69,45.26,27.93,9.64,11.31,22.04,55.59,38.01,7.44,10.12,25.08,26.42,58.21,14.0,3.57,9.25,12.75,19.2,30.4,41.74,51.69,62.15,151.61,83.0,5.87,2.0,8000
metaqa,coverage_kl_lam_0.5,train,29.89,17.32,29.89,19.36,29.89,45.21,29.03,20.5,19.65,32.42,52.86,35.39,16.8,18.22,34.27,63.02,44.33,12.35,15.36,36.84,73.21,54.05,8.88,12.35,39.68,40.93,24.11,5.0,13.05,21.93,27.05,34.7,45.01,56.01,65.53,74.28,109.45,33.0,6.11,2.0,8000
metaqa,coverage_kl_lam_0.5,val,17.64,6.94,17.64,8.5,17.64,29.31,15.23,14.35,11.8,19.11,35.31,19.94,12.42,12.03,20.29,44.6,27.94,9.85,11.49,22.51,55.05,37.72,7.55,10.2,25.42,26.81,57.7,15.0,3.9,9.51,12.97,19.57,30.48,42.39,51.6,62.6,151.5,85.0,6.26,2.0,8000
metaqa,coverage_kl_lam_0.5,test,17.08,6.88,17.08,8.42,17.08,29.7,15.72,14.45,12.09,19.19,35.95,20.68,12.44,12.24,20.5,45.84,28.79,9.89,11.65,22.85,55.88,38.2,7.53,10.23,25.69,26.77,57.76,14.0,3.81,9.89,13.55,20.1,30.2,42.52,51.9,62.41,150.15,82.0,5.87,2.0,8000
metaqa,coverage_kl_lam_0.5__final,train,56.14,39.47,56.14,42.39,56.14,70.81,51.15,30.71,32.42,56.64,76.9,56.38,23.15,26.94,57.81,84.88,63.61,15.75,20.44,59.7,91.76,71.09,10.64,15.17,61.93,65.79,6.62,1.0,32.99,42.29,46.38,52.34,60.61,68.42,75.29,81.16,80.44,8.0,6.11,2.0,8000
metaqa,coverage_kl_lam_0.5__final,val,17.12,6.75,17.12,8.23,17.12,29.68,14.92,14.17,11.51,18.78,35.54,19.57,12.23,11.75,19.91,44.88,27.37,9.78,11.3,22.08,54.91,37.3,7.55,10.16,25.03,26.6,59.06,15.0,3.82,9.31,12.55,18.68,30.26,41.31,51.36,61.84,153.5,88.0,6.26,2.0,8000
metaqa,coverage_kl_lam_0.5__final,test,16.48,6.53,16.48,7.96,16.48,29.48,14.95,14.1,11.51,18.58,35.79,19.71,12.23,11.81,19.83,45.76,28.24,9.82,11.46,22.25,55.99,38.11,7.54,10.21,25.19,26.38,57.55,14.0,3.71,9.28,12.45,19.25,30.45,42.14,51.74,62.06,151.62,82.0,5.87,2.0,8000
metaqa,coverage_kl_lam_1,train,30.84,17.62,30.84,19.73,30.84,46.64,29.85,21.18,20.16,33.44,54.26,36.34,17.2,18.6,35.22,64.4,45.5,12.54,15.61,37.74,74.16,54.81,8.97,12.5,40.43,42.05,22.53,4.0,13.21,22.74,28.12,35.95,45.84,56.38,66.47,75.45,106.38,31.0,6.11,2.0,8000
metaqa,coverage_kl_lam_1,val,17.5,6.67,17.5,8.25,17.5,29.38,14.99,14.42,11.7,19.03,35.71,19.73,12.43,11.94,20.16,44.7,27.54,9.92,11.46,22.33,55.64,37.89,7.65,10.31,25.39,26.83,58.12,15.0,3.59,9.26,12.8,18.91,30.56,42.31,51.71,62.16,151.66,85.5,6.26,2.0,8000
metaqa,coverage_kl_lam_1,test,17.96,7.06,17.96,8.68,17.96,29.54,15.37,14.37,11.87,19.23,35.75,20.17,12.23,11.98,20.35,45.66,28.49,9.8,11.53,22.72,55.83,38.41,7.54,10.26,25.73,27.16,57.86,14.0,3.86,9.59,13.08,19.73,30.86,42.27,51.91,61.74,151.61,80.0,5.87,2.0,8000
metaqa,coverage_kl_lam_1__final,train,55.97,39.08,55.97,42.01,55.97,70.7,51.18,31.0,32.57,56.68,76.84,56.39,23.36,27.11,57.79,84.54,63.56,15.79,20.45,59.61,91.07,71.14,10.63,15.17,61.81,65.54,6.98,1.0,32.61,42.48,46.65,52.62,61.09,68.94,75.89,81.83,78.25,8.0,6.11,2.0,8000
metaqa,coverage_kl_lam_1__final,val,17.06,6.62,17.06,8.13,17.06,28.84,14.46,13.91,11.27,18.43,35.39,19.41,12.24,11.72,19.76,44.66,27.38,9.8,11.33,22.02,55.74,37.76,7.67,10.3,25.13,26.46,58.88,15.0,3.66,8.8,12.38,18.85,30.69,41.85,51.49,61.81,152.96,85.0,6.26,2.0,8000
metaqa,coverage_kl_lam_1__final,test,17.2,6.67,17.2,8.2,17.2,29.75,14.92,14.01,11.48,18.61,35.96,20.06,12.11,11.83,19.94,45.39,27.97,9.69,11.35,22.18,55.85,37.95,7.5,10.18,25.21,26.74,57.66,14.0,3.67,9.24,12.99,19.09,30.4,42.05,51.96,62.1,151.43,81.0,5.87,2.0,8000
