dataset,method,hn_k,split,recall@1,gt_recall@1,precision@1,f1@1,ndcg@1,recall@3,gt_recall@3,precision@3,f1@3,ndcg@3,recall@5,gt_recall@5,precision@5,f1@5,ndcg@5,recall@10,gt_recall@10,precision@10,f1@10,ndcg@10,recall@20,gt_recall@20,precision@20,f1@20,ndcg@20,mrr,avg_first_hit_pos,median_first_hit_pos,full_coverage@20,avg_gt_partitions,min_gt_partitions,max_gt_partitions,median_gt_partitions,std_gt_partitions,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,total_queries
2wiki,mlp_info_nce_multi_hnm_0,0,train,31.04,21.2,31.04,24.28,31.04,52.8,38.45,19.91,25.32,34.97,63.71,48.0,15.28,22.51,39.34,77.33,61.62,10.12,17.04,44.53,89.74,76.89,6.49,11.82,49.11,45.71,4.19,2.0,63.2,1.75,1,4,2.0,0.74,0.33,0.33,0.34,0.35,10500
2wiki,mlp_info_nce_multi_hnm_0,0,val,21.83,14.74,21.83,16.97,21.83,42.43,30.39,15.64,19.96,26.72,53.37,39.78,12.55,18.54,31.04,68.57,53.63,8.69,14.67,36.23,83.77,69.24,5.79,10.56,40.87,36.46,4.64,2.0,54.47,1.75,1,4,2.0,0.73,0.38,0.33,0.58,1.2,3000
2wiki,mlp_info_nce_multi_hnm_0,0,test,23.8,15.97,23.8,18.43,23.8,43.67,31.51,16.07,20.56,27.98,55.0,41.15,12.95,19.12,32.42,69.2,54.58,8.83,14.91,37.46,83.0,68.92,5.81,10.58,41.82,37.89,4.34,2.0,54.67,1.76,1,4,2.0,0.75,0.33,0.33,0.35,0.49,1500
2wiki,mlp_info_nce_multi_hnm_37,37,train,26.0,17.93,26.0,20.47,26.0,46.5,34.01,17.41,22.24,30.43,56.5,42.78,13.49,19.93,34.46,71.7,56.36,9.18,15.49,39.59,87.3,73.73,6.2,11.31,44.78,40.3,4.68,2.0,59.56,1.75,1,4,2.0,0.74,0.33,0.32,0.37,0.4,10500
2wiki,mlp_info_nce_multi_hnm_37,37,val,20.8,14.02,20.8,16.16,20.8,40.43,28.83,14.94,19.03,25.39,50.53,37.95,11.94,17.66,29.54,66.2,51.56,8.36,14.11,34.63,82.53,67.8,5.66,10.32,39.45,34.93,4.8,2.0,53.0,1.75,1,4,2.0,0.73,0.34,0.33,0.37,0.39,3000
2wiki,mlp_info_nce_multi_hnm_37,37,test,21.87,14.42,21.87,16.76,21.87,42.4,30.31,15.71,19.99,26.64,52.33,39.13,12.41,18.31,30.67,66.73,52.42,8.53,14.38,35.66,81.67,67.64,5.68,10.35,40.22,36.18,4.45,2.0,53.8,1.76,1,4,2.0,0.75,0.32,0.32,0.34,0.35,1500
2wiki,mlp_info_nce_multi_hnm_74,74,train,30.54,20.75,30.54,23.82,30.54,52.33,37.88,19.64,24.95,34.4,62.27,46.71,14.87,21.91,38.43,76.34,60.6,9.95,16.76,43.71,89.13,76.04,6.42,11.69,48.35,45.05,4.22,2.0,62.23,1.75,1,4,2.0,0.74,0.33,0.33,0.35,0.36,10500
2wiki,mlp_info_nce_multi_hnm_74,74,val,21.9,14.83,21.9,17.07,21.9,41.93,30.29,15.53,19.85,26.63,52.8,39.59,12.42,18.38,30.89,67.8,52.78,8.56,14.46,35.87,83.53,69.23,5.79,10.56,40.75,36.23,4.7,2.0,54.57,1.75,1,4,2.0,0.73,0.33,0.32,0.34,0.35,3000
2wiki,mlp_info_nce_multi_hnm_74,74,test,23.53,16.07,23.53,18.43,23.53,44.33,31.99,16.38,20.93,28.25,54.4,40.7,12.8,18.93,32.22,69.2,54.03,8.81,14.86,37.3,82.6,68.39,5.73,10.44,41.57,37.78,4.31,2.0,53.87,1.76,1,4,2.0,0.75,0.33,0.33,0.35,0.37,1500
2wiki,mlp_info_nce_multi_hnm_111,111,train,29.09,19.86,29.09,22.76,29.09,50.31,36.6,18.85,24.03,33.12,61.08,46.06,14.61,21.54,37.48,75.17,59.73,9.77,16.47,42.66,88.4,75.07,6.32,11.52,47.25,43.64,4.32,2.0,61.04,1.75,1,4,2.0,0.74,0.33,0.32,0.34,0.35,10500
