dataset,method,hn_k,split,recall@1,gt_recall@1,precision@1,f1@1,ndcg@1,recall@3,gt_recall@3,precision@3,f1@3,ndcg@3,recall@5,gt_recall@5,precision@5,f1@5,ndcg@5,recall@10,gt_recall@10,precision@10,f1@10,ndcg@10,recall@20,gt_recall@20,precision@20,f1@20,ndcg@20,mrr,avg_first_hit_pos,median_first_hit_pos,full_coverage@20,avg_gt_partitions,min_gt_partitions,max_gt_partitions,median_gt_partitions,std_gt_partitions,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,total_queries
musique,mlp_info_nce_multi_hnm_0,0,train,97.54,85.66,97.54,89.59,97.54,99.65,97.79,40.22,55.71,97.24,99.92,99.08,24.62,38.71,97.88,99.98,99.76,12.44,21.86,98.15,99.99,99.96,6.24,11.67,98.21,98.59,1.04,1.0,99.93,1.25,1,3,1.0,0.44,0.31,0.31,0.33,0.33,13956
musique,mlp_info_nce_multi_hnm_0,0,val,76.62,68.87,76.62,71.44,76.62,88.36,81.56,31.41,44.57,78.73,92.9,86.82,20.47,32.63,81.16,96.41,91.89,11.08,19.56,83.05,99.02,96.43,5.92,11.09,84.38,83.61,1.88,1.0,93.8,1.25,1,3,1.0,0.44,0.31,0.31,0.33,0.33,3987
musique,mlp_info_nce_multi_hnm_0,0,test,76.74,69.46,76.74,71.87,76.74,89.47,82.71,31.88,45.22,79.58,93.48,87.16,20.46,32.65,81.61,97.29,92.73,11.12,19.65,83.66,99.2,96.98,5.93,11.11,84.92,83.91,1.82,1.0,94.69,1.24,1,3,1.0,0.44,0.31,0.31,0.33,0.33,1995
musique,mlp_info_nce_multi_hnm_11,11,train,96.77,85.08,96.77,88.95,96.77,99.54,97.17,39.81,55.22,96.5,99.86,98.73,24.48,38.51,97.28,99.97,99.61,12.41,21.81,97.63,100.0,99.95,6.24,11.66,97.73,98.15,1.05,1.0,99.89,1.25,1,3,1.0,0.44,0.31,0.31,0.33,0.33,13956
musique,mlp_info_nce_multi_hnm_11,11,val,76.65,69.05,76.65,71.57,76.65,88.74,81.7,31.47,44.65,78.82,92.8,86.44,20.35,32.44,81.02,96.49,91.8,11.04,19.5,82.99,98.92,96.09,5.9,11.04,84.27,83.6,1.86,1.0,93.23,1.25,1,3,1.0,0.44,0.31,0.31,0.33,0.33,3987
musique,mlp_info_nce_multi_hnm_11,11,test,76.84,69.52,76.84,71.95,76.84,89.97,83.58,32.13,45.62,80.23,93.33,87.67,20.53,32.78,82.12,96.99,92.74,11.11,19.64,84.02,99.3,97.1,5.94,11.13,85.31,84.19,1.82,1.0,94.89,1.24,1,3,1.0,0.44,0.31,0.31,0.33,0.33,1995
musique,mlp_info_nce_multi_hnm_22,22,train,98.19,86.27,98.19,90.22,98.19,99.82,98.48,40.64,56.22,98.02,99.98,99.45,24.75,38.91,98.51,100.0,99.87,12.46,21.9,98.68,100.0,99.99,6.24,11.67,98.72,99.0,1.03,1.0,99.98,1.25,1,3,1.0,0.44,0.31,0.31,0.33,0.33,13956
musique,mlp_info_nce_multi_hnm_22,22,val,76.67,68.96,76.67,71.52,76.67,89.01,82.07,31.77,44.99,79.18,92.98,86.76,20.46,32.6,81.31,96.97,92.16,11.11,19.62,83.31,99.1,96.48,5.93,11.1,84.58,83.86,1.85,1.0,93.86,1.25,1,3,1.0,0.44,0.31,0.31,0.33,0.33,3987
musique,mlp_info_nce_multi_hnm_22,22,test,77.94,70.18,77.94,72.76,77.94,89.57,83.02,31.95,45.35,80.1,93.58,87.69,20.59,32.85,82.26,97.34,92.87,11.13,19.67,84.16,99.15,96.83,5.92,11.09,85.35,84.61,1.78,1.0,94.49,1.24,1,3,1.0,0.44,0.31,0.31,0.33,0.34,1995
musique,mlp_info_nce_multi_hnm_33,33,train,97.69,85.82,97.69,89.75,97.69,99.79,98.1,40.4,55.93,97.55,99.91,99.18,24.66,38.77,98.09,100.0,99.83,12.45,21.88,98.35,100.0,99.99,6.24,11.67,98.4,98.72,1.03,1.0,99.98,1.25,1,3,1.0,0.44,0.31,0.31,0.33,0.33,13956
musique,mlp_info_nce_multi_hnm_33,33,val,76.27,68.62,76.27,71.16,76.27,89.57,82.59,31.95,45.25,79.27,93.05,87.19,20.6,32.81,81.4,96.59,92.07,11.08,19.58,83.2,99.05,96.54,5.93,11.1,84.51,83.69,1.85,1.0,94.01,1.25,1,3,1.0,0.44,0.31,0.31,0.33,0.33,3987
musique,mlp_info_nce_multi_hnm_33,33,test,76.49,69.4,76.49,71.75,76.49,89.67,82.94,31.85,45.24,79.69,93.38,87.43,20.47,32.69,81.76,97.14,92.61,11.1,19.61,83.71,99.35,97.21,5.95,11.14,85.06,83.92,1.84,1.0,95.04,1.24,1,3,1.0,0.44,0.31,0.31,0.33,0.33,1995
musique,mlp_info_nce_multi_hnm_45,45,train,97.77,85.85,97.77,89.8,97.77,99.71,98.13,40.43,55.96,97.59,99.93,99.23,24.68,38.8,98.14,99.98,99.81,12.45,21.88,98.37,99.99,99.98,6.24,11.67,98.43,98.75,1.03,1.0,99.97,1.25,1,3,1.0,0.44,0.31,0.31,0.33,0.33,13956
musique,mlp_info_nce_multi_hnm_45,45,val,77.68,69.86,77.68,72.45,77.68,89.64,82.52,31.85,45.15,79.76,93.63,87.25,20.55,32.76,81.93,97.07,92.17,11.09,19.59,83.77,99.02,96.45,5.93,11.09,85.05,84.57,1.76,1.0,93.86,1.25,1,3,1.0,0.44,0.31,0.31,0.33,0.33,3987
musique,mlp_info_nce_multi_hnm_45,45,test,76.24,69.04,76.24,71.43,76.24,89.17,82.56,31.76,45.08,79.43,93.33,87.34,20.51,32.72,81.64,97.64,93.21,11.19,19.77,83.78,99.15,96.94,5.94,11.12,84.92,83.77,1.79,1.0,94.64,1.24,1,3,1.0,0.44,0.31,0.31,0.33,0.33,1995
musique,mlp_kl_div_hnm_0,0,train,99.8,87.63,99.8,91.66,99.8,99.99,99.44,41.22,56.95,99.4,100.0,99.78,24.88,39.09,99.58,100.0,99.96,12.48,21.92,99.65,100.0,99.99,6.24,11.67,99.67,99.89,1.0,1.0,99.98,1.25,1,3,1.0,0.44,0.32,0.31,0.33,0.34,13956
musique,mlp_kl_div_hnm_0,0,val,78.93,71.19,78.93,73.76,78.93,90.07,83.1,32.05,45.45,80.68,93.4,87.33,20.57,32.79,82.65,97.19,92.27,11.11,19.62,84.49,99.07,96.4,5.91,11.07,85.71,85.37,1.75,1.0,93.68,1.25,1,3,1.0,0.44,0.32,0.31,0.33,0.34,3987
musique,mlp_kl_div_hnm_0,0,test,78.7,71.43,78.7,73.84,78.7,90.38,84.17,32.4,45.97,81.28,93.88,87.94,20.65,32.95,83.04,96.84,92.44,11.06,19.55,84.71,99.15,96.81,5.92,11.08,86.01,85.22,1.77,1.0,94.39,1.24,1,3,1.0,0.44,0.31,0.31,0.33,0.33,1995
musique,mlp_kl_div_hnm_11,11,train,98.19,86.7,98.19,90.5,98.19,99.79,96.84,39.45,54.85,96.79,99.96,98.4,24.31,38.29,97.59,100.0,99.47,12.38,21.75,98.02,100.0,99.91,6.23,11.66,98.16,98.99,1.03,1.0,99.81,1.25,1,3,1.0,0.44,0.31,0.31,0.33,0.34,13956
musique,mlp_kl_div_hnm_11,11,val,79.61,71.68,79.61,74.31,79.61,90.09,83.02,31.97,45.36,80.76,93.03,86.94,20.46,32.63,82.6,96.66,91.86,11.06,19.53,84.45,98.9,96.1,5.89,11.03,85.69,85.6,1.77,1.0,93.3,1.25,1,3,1.0,0.44,0.32,0.31,0.33,0.34,3987
musique,mlp_kl_div_hnm_11,11,test,79.0,71.62,79.0,74.08,79.0,90.38,83.58,32.0,45.5,81.0,93.83,87.84,20.57,32.85,82.99,97.04,92.82,11.12,19.65,84.84,99.2,96.93,5.93,11.1,86.07,85.46,1.77,1.0,94.64,1.24,1,3,1.0,0.44,0.31,0.31,0.33,0.34,1995
musique,mlp_kl_div_hnm_22,22,train,99.94,87.7,99.94,91.75,99.94,100.0,99.69,41.4,57.15,99.67,100.0,99.91,24.93,39.17,99.79,100.0,99.99,12.49,21.94,99.82,100.0,100.0,6.24,11.67,99.83,99.97,1.0,1.0,100.0,1.25,1,3,1.0,0.44,0.31,0.31,0.33,0.34,13956
musique,mlp_kl_div_hnm_22,22,val,79.26,71.48,79.26,74.06,79.26,89.97,82.95,32.05,45.42,80.71,93.63,87.63,20.74,33.02,82.91,96.59,92.1,11.1,19.6,84.55,98.9,96.27,5.92,11.07,85.79,85.47,1.78,1.0,93.6,1.25,1,3,1.0,0.44,0.32,0.31,0.33,0.34,3987
musique,mlp_kl_div_hnm_22,22,test,79.65,72.12,79.65,74.62,79.65,89.92,83.94,32.28,45.83,81.52,93.18,87.44,20.52,32.74,83.17,96.94,92.7,11.12,19.65,85.11,99.15,96.92,5.92,11.09,86.35,85.73,1.78,1.0,94.59,1.24,1,3,1.0,0.44,0.31,0.31,0.33,0.33,1995
musique,mlp_kl_div_hnm_33,33,train,99.35,87.37,99.35,91.34,99.35,99.93,98.56,40.63,56.24,98.53,99.99,99.49,24.76,38.92,99.01,99.99,99.87,12.46,21.89,99.16,100.0,99.98,6.24,11.67,99.2,99.64,1.01,1.0,99.96,1.25,1,3,1.0,0.44,0.31,0.31,0.33,0.34,13956
musique,mlp_kl_div_hnm_33,33,val,78.81,71.29,78.81,73.79,78.81,90.12,82.99,31.96,45.35,80.6,93.91,87.58,20.63,32.89,82.74,96.81,92.22,11.1,19.61,84.47,99.1,96.36,5.91,11.07,85.69,85.33,1.77,1.0,93.63,1.25,1,3,1.0,0.44,0.32,0.31,0.33,0.34,3987
musique,mlp_kl_div_hnm_33,33,test,80.3,72.87,80.3,75.34,80.3,90.83,84.03,32.21,45.79,81.83,93.33,87.53,20.47,32.7,83.46,97.64,92.66,11.06,19.55,85.36,99.3,96.97,5.93,11.1,86.67,86.29,1.72,1.0,94.59,1.24,1,3,1.0,0.44,0.31,0.31,0.33,0.33,1995
musique,mlp_kl_div_hnm_45,45,train,99.0,87.2,99.0,91.11,99.0,99.96,98.13,40.33,55.88,98.06,99.99,99.28,24.67,38.8,98.65,100.0,99.8,12.45,21.87,98.86,100.0,99.97,6.24,11.67,98.92,99.46,1.01,1.0,99.93,1.25,1,3,1.0,0.44,0.41,0.32,0.56,2.87,13956
musique,mlp_kl_div_hnm_45,45,val,78.4,70.73,78.4,73.27,78.4,89.77,82.7,31.89,45.22,80.19,93.4,86.98,20.44,32.6,82.17,97.07,92.3,11.11,19.62,84.14,98.92,96.38,5.92,11.09,85.36,84.96,1.77,1.0,93.8,1.25,1,3,1.0,0.44,0.33,0.31,0.35,0.65,3987
musique,mlp_kl_div_hnm_45,45,test,79.05,71.6,79.05,74.08,79.05,89.67,82.85,31.73,45.11,80.48,93.33,87.44,20.45,32.66,82.61,97.59,92.7,11.1,19.62,84.57,99.25,96.97,5.93,11.11,85.86,85.24,1.75,1.0,94.64,1.24,1,3,1.0,0.44,0.32,0.31,0.33,0.46,1995
