dataset,method,hn_k,split,recall@1,gt_recall@1,precision@1,f1@1,ndcg@1,recall@3,gt_recall@3,precision@3,f1@3,ndcg@3,recall@5,gt_recall@5,precision@5,f1@5,ndcg@5,recall@10,gt_recall@10,precision@10,f1@10,ndcg@10,recall@20,gt_recall@20,precision@20,f1@20,ndcg@20,mrr,avg_first_hit_pos,median_first_hit_pos,full_coverage@20,avg_gt_partitions,min_gt_partitions,max_gt_partitions,median_gt_partitions,std_gt_partitions,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,total_queries
squad,mlp_info_nce_multi_hnm_0,0,train,85.0,84.46,85.0,84.64,85.0,96.29,96.09,32.38,48.36,91.61,98.51,98.41,19.92,33.09,92.58,99.78,99.76,10.1,18.33,93.04,100.0,100.0,5.06,9.64,93.1,90.9,1.32,1.0,100.0,1.01,1,2,1.0,0.11,0.31,0.31,0.33,0.36,91223
squad,mlp_info_nce_multi_hnm_0,0,val,68.16,67.74,68.16,67.88,68.16,85.21,84.87,28.57,42.69,77.99,90.9,90.6,18.32,30.44,80.37,96.6,96.45,9.77,17.72,82.29,100.0,100.0,5.07,9.65,83.22,78.12,2.24,1.0,100.0,1.01,1,2,1.0,0.12,0.31,0.31,0.33,0.34,26063
squad,mlp_info_nce_multi_hnm_0,0,test,69.02,68.63,69.02,68.76,69.02,85.64,85.31,28.7,42.89,78.56,91.04,90.75,18.34,30.48,80.82,96.78,96.61,9.78,17.74,82.74,100.0,100.0,5.07,9.64,83.63,78.66,2.2,1.0,100.0,1.01,1,2,1.0,0.12,0.31,0.31,0.33,0.34,13033
squad,mlp_info_nce_multi_hnm_4,4,train,79.92,79.42,79.92,79.59,79.92,93.0,92.75,31.24,46.67,87.52,96.37,96.22,19.47,32.34,88.96,99.03,98.99,10.02,18.19,89.88,100.0,100.0,5.06,9.64,90.15,87.07,1.57,1.0,100.0,1.01,1,2,1.0,0.11,0.31,0.31,0.33,0.36,91223
squad,mlp_info_nce_multi_hnm_4,4,val,67.66,67.24,67.66,67.38,67.66,83.87,83.54,28.12,42.02,76.98,89.77,89.47,18.1,30.07,79.45,96.24,96.07,9.73,17.66,81.62,100.0,100.0,5.07,9.65,82.64,77.41,2.33,1.0,100.0,1.01,1,2,1.0,0.12,0.31,0.31,0.33,0.35,26063
squad,mlp_info_nce_multi_hnm_4,4,test,68.7,68.28,68.7,68.42,68.7,84.56,84.21,28.33,42.34,77.83,90.27,89.98,18.18,30.22,80.22,96.19,96.04,9.72,17.64,82.22,100.0,100.0,5.07,9.64,83.25,78.21,2.28,1.0,100.0,1.01,1,2,1.0,0.12,0.31,0.31,0.33,0.34,13033
squad,mlp_info_nce_multi_hnm_9,9,train,79.59,79.08,79.59,79.25,79.59,93.6,93.34,31.44,46.96,87.74,96.95,96.8,19.58,32.53,89.18,99.39,99.35,10.06,18.25,90.04,100.0,100.0,5.06,9.64,90.21,87.12,1.52,1.0,100.0,1.01,1,2,1.0,0.11,0.35,0.31,0.37,0.98,91223
squad,mlp_info_nce_multi_hnm_9,9,val,67.4,66.96,67.4,67.1,67.4,84.59,84.23,28.36,42.37,77.31,90.31,90.02,18.21,30.25,79.71,96.45,96.29,9.75,17.7,81.77,100.0,100.0,5.07,9.65,82.74,77.51,2.28,1.0,100.0,1.01,1,2,1.0,0.12,0.31,0.31,0.33,0.34,26063
squad,mlp_info_nce_multi_hnm_9,9,test,68.48,68.08,68.48,68.21,68.48,85.05,84.7,28.5,42.59,77.97,90.8,90.5,18.29,30.39,80.38,96.65,96.52,9.77,17.73,82.36,100.0,100.0,5.07,9.64,83.28,78.2,2.23,1.0,100.0,1.01,1,2,1.0,0.12,0.31,0.31,0.33,0.34,13033
squad,mlp_info_nce_multi_hnm_13,13,train,80.37,79.86,80.37,80.03,80.37,94.12,93.86,31.62,47.23,88.37,97.29,97.16,19.66,32.66,89.75,99.45,99.4,10.07,18.26,90.49,100.0,100.0,5.06,9.64,90.66,87.69,1.49,1.0,100.0,1.01,1,2,1.0,0.11,0.31,0.31,0.33,0.35,91223
