dataset,method,split,total_queries,recall@1,recall@3,recall@5,recall@10,recall@20,gt_recall@1,gt_recall@3,gt_recall@5,gt_recall@10,gt_recall@20,precision@1,precision@3,precision@5,precision@10,precision@20,f1@1,f1@3,f1@5,f1@10,f1@20,ndcg@1,ndcg@3,ndcg@5,ndcg@10,ndcg@20,mrr,full_coverage@20,avg_gt_partitions,min_gt_partitions,max_gt_partitions,median_gt_partitions,std_gt_partitions,avg_first_hit_pos,median_first_hit_pos,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
metaqa,mlp_info_nce_single,train,285259,44.91,69.5,79.88,90.79,97.87,23.39,41.91,53.1,68.82,85.6,44.91,32.09,27.35,20.51,15.17,26.77,29.6,29.07,25.75,21.72,44.91,48.16,51.47,55.76,61.1,60.08,65.86,4.25,1,40,2.0,5.57,3.34,2.0,0.31,0.31,0.33,0.33
metaqa,mlp_info_nce_single,train_hop1,81224,40.52,62.43,73.29,86.51,96.86,33.33,52.86,63.36,77.59,91.58,40.52,22.54,16.61,10.63,6.64,35.16,29.99,25.01,17.88,11.95,40.52,47.7,51.92,56.83,60.91,55.08,84.4,1.56,1,27,1.0,1.4,3.93,2.0,0.31,0.31,0.32,0.33
metaqa,mlp_info_nce_single,train_hop2,104082,42.21,66.08,76.75,89.35,97.46,24.04,41.73,51.87,67.9,84.79,42.21,27.94,22.68,16.87,12.39,27.33,28.41,26.53,22.87,18.75,42.21,44.76,47.88,53.02,58.5,57.41,67.38,3.54,1,39,2.0,4.66,3.59,2.0,0.31,0.31,0.32,0.33
metaqa,mlp_info_nce_single,train_hop3,99953,51.3,78.82,88.48,95.78,99.12,14.64,33.19,46.05,62.67,81.57,51.3,44.17,40.94,32.34,24.99,19.36,30.52,35.01,35.15,32.76,51.3,52.07,54.85,57.75,63.97,66.92,49.22,7.17,1,40,5.0,7.02,2.6,1.0,0.31,0.31,0.33,0.33
metaqa,mlp_info_nce_single,val,81502,36.68,60.19,70.94,83.66,94.09,17.66,34.62,45.64,62.04,81.19,36.68,28.57,25.24,19.58,14.89,20.53,25.2,25.93,24.1,21.14,36.68,40.65,44.13,48.74,54.69,51.86,61.12,4.26,1,39,2.0,5.61,3.91,2.0,0.31,0.31,0.33,0.33
metaqa,mlp_info_nce_single,val_hop1,23168,27.11,46.38,57.25,72.83,89.27,22.16,38.79,48.73,64.47,83.41,27.11,16.73,12.98,8.96,6.07,23.4,22.11,19.4,15.01,10.93,27.11,34.08,38.14,43.56,48.9,41.12,75.91,1.55,1,24,1.0,1.37,4.87,3.0,0.31,0.3,0.33,0.33
metaqa,mlp_info_nce_single,val_hop2,29825,34.19,56.94,68.06,82.47,93.91,19.14,35.36,45.17,61.45,80.36,34.19,24.34,20.44,15.76,11.99,21.84,24.3,23.46,21.1,18.03,34.19,37.81,41.12,46.5,52.51,49.45,62.64,3.53,1,37,2.0,4.66,4.16,2.0,0.31,0.31,0.33,0.35
metaqa,mlp_info_nce_single,val_hop3,28509,47.06,74.81,85.07,93.7,98.19,12.46,30.46,43.61,60.68,80.27,47.06,42.63,40.22,32.2,25.08,16.83,28.66,33.81,34.64,32.7,47.06,48.95,52.13,55.29,61.67,63.1,47.53,7.24,1,39,5.0,7.1,2.87,2.0,0.31,0.31,0.33,0.34
metaqa,mlp_info_nce_single,test,40752,36.68,60.28,71.36,84.15,94.24,17.53,34.69,45.77,62.28,81.29,36.68,28.45,25.17,19.55,14.83,20.42,25.21,25.96,24.16,21.14,36.68,40.53,44.03,48.7,54.65,51.91,61.17,4.25,1,39,2.0,5.55,3.89,2.0,0.31,0.31,0.33,0.34
metaqa,mlp_info_nce_single,test_hop1,11653,26.88,47.2,58.29,73.86,89.22,21.78,39.3,49.47,65.07,83.08,26.88,17.02,13.24,9.12,6.15,23.06,22.45,19.75,15.23,11.02,26.88,34.31,38.46,43.83,48.95,41.33,75.24,1.58,1,20,1.0,1.43,4.76,3.0,0.31,0.31,0.33,0.34
metaqa,mlp_info_nce_single,test_hop2,14817,34.19,56.56,68.01,82.68,94.06,19.02,35.29,44.93,61.78,80.79,34.19,24.03,20.15,15.71,11.91,21.75,24.16,23.25,21.11,17.99,34.19,37.5,40.77,46.38,52.43,49.29,63.25,3.49,1,39,2.0,4.6,4.2,2.0,0.31,0.3,0.33,0.33
metaqa,mlp_info_nce_single,test_hop3,14282,47.26,74.82,85.49,94.06,98.53,12.53,30.3,43.62,60.52,80.35,47.26,42.37,40.1,32.03,24.94,16.9,28.56,33.84,34.6,32.67,47.26,48.75,51.95,55.09,61.61,63.25,47.52,7.21,1,38,5.0,7.01,2.88,2.0,0.31,0.31,0.33,0.34
metaqa,mlp_info_nce_multi,train,285259,56.95,77.44,85.16,93.26,98.52,28.27,47.76,58.51,73.42,88.54,56.95,38.93,31.87,23.21,16.32,32.78,34.61,32.93,28.53,23.18,56.95,57.86,59.96,63.28,67.73,69.26,69.49,4.25,1,40,2.0,5.57,2.76,1.0,0.31,0.3,0.33,0.42
metaqa,mlp_info_nce_multi,train_hop1,81224,46.15,68.14,77.92,89.31,97.6,37.6,57.8,67.81,80.85,92.94,46.15,24.92,18.01,11.21,6.81,39.79,32.98,26.98,18.79,12.23,46.15,52.86,56.8,61.31,64.88,60.13,86.15,1.56,1,27,1.0,1.4,3.48,2.0,0.31,0.3,0.33,0.34
metaqa,mlp_info_nce_multi,train_hop2,104082,51.22,73.31,82.28,92.03,98.22,27.82,46.82,57.26,72.24,87.63,51.22,33.54,26.82,19.15,13.38,31.96,32.62,30.2,25.29,20.01,51.22,52.53,55.16,59.32,64.03,64.75,69.63,3.54,1,39,2.0,4.66,3.06,1.0,0.31,0.3,0.33,0.34
metaqa,mlp_info_nce_multi,train_hop3,99953,71.7,89.29,94.04,97.75,99.56,21.16,40.57,52.26,68.6,85.92,71.7,55.91,48.4,37.21,27.11,27.94,38.02,40.6,39.81,35.36,71.7,67.48,67.53,69.02,73.9,81.36,55.81,7.17,1,40,5.0,7.02,1.86,1.0,0.31,0.31,0.33,0.34
metaqa,mlp_info_nce_multi,val,81502,48.12,68.38,76.87,86.9,95.23,22.19,40.43,51.08,66.88,84.48,48.12,34.96,29.35,22.08,15.98,26.11,30.03,29.58,26.75,22.55,48.12,49.9,52.21,56.0,61.16,60.95,65.19,4.26,1,39,2.0,5.61,3.33,1.0,0.31,0.31,0.33,0.34
metaqa,mlp_info_nce_multi,val_hop1,23168,32.77,52.96,63.67,77.54,91.25,26.45,44.45,54.69,69.31,86.04,32.77,19.32,14.66,9.72,6.33,28.06,25.46,21.87,16.24,11.37,32.77,39.65,43.8,48.86,53.63,46.83,78.93,1.55,1,24,1.0,1.37,4.39,2.0,0.31,0.3,0.33,0.34
metaqa,mlp_info_nce_multi,val_hop2,29825,42.46,64.03,73.48,85.3,94.87,22.37,39.88,49.8,65.42,83.19,42.46,29.3,23.99,17.79,12.9,25.82,28.02,26.62,23.27,19.21,42.46,44.75,47.46,52.05,57.47,56.34,65.02,3.53,1,37,2.0,4.66,3.66,2.0,0.31,0.3,0.33,0.34
metaqa,mlp_info_nce_multi,val_hop3,28509,66.51,85.47,91.14,96.18,98.86,18.55,37.73,49.5,66.44,84.57,66.51,53.58,46.91,36.62,27.06,24.84,35.84,38.93,38.93,35.14,66.51,63.62,64.01,65.93,71.14,77.26,54.21,7.24,1,39,5.0,7.1,2.12,1.0,0.31,0.31,0.33,0.34
metaqa,mlp_info_nce_multi,test,40752,47.7,67.99,76.6,86.86,95.25,21.95,40.09,50.85,66.76,84.31,47.7,34.76,29.25,22.0,15.9,25.82,29.82,29.49,26.71,22.49,47.7,49.53,51.86,55.69,60.86,60.59,64.76,4.25,1,39,2.0,5.55,3.35,1.0,0.31,0.31,0.33,0.34
metaqa,mlp_info_nce_multi,test_hop1,11653,32.1,52.45,63.11,77.45,91.42,25.79,43.82,53.91,68.84,85.83,32.1,19.11,14.51,9.74,6.39,27.38,25.12,21.59,16.21,11.45,32.1,39.03,43.11,48.28,53.15,46.28,78.33,1.58,1,20,1.0,1.43,4.44,2.0,0.31,0.3,0.33,0.34
metaqa,mlp_info_nce_multi,test_hop2,14817,41.68,63.02,73.13,85.27,94.75,22.08,39.35,49.83,65.7,83.02,41.68,28.91,23.84,17.64,12.7,25.44,27.68,26.56,23.17,19.0,41.68,44.09,47.08,51.74,57.02,55.61,64.76,3.49,1,39,2.0,4.6,3.7,2.0,0.31,0.3,0.33,0.34
