epoch,train_loss,val_loss,val_full_coverage@20,is_best
1,5.128917,4.770957,14.93,True
2,4.741842,4.643661,17.87,True
3,4.615097,4.562702,20.2,True
4,4.52629,4.507209,21.6,True
5,4.452613,4.474429,22.1,True
6,4.383739,4.439087,23.0,True
7,4.333849,4.431534,23.23,True
8,4.280723,4.400079,23.53,True
9,4.240091,4.388489,23.67,True
10,4.201605,4.368664,24.1,True
11,4.165178,4.364956,24.43,True
12,4.130486,4.346892,24.37,True
13,4.096949,4.343033,24.6,True
14,4.067103,4.334244,24.8,True
15,4.043741,4.32746,25.03,True
16,4.004135,4.32354,25.2,True
17,3.977172,4.325259,25.3,False
18,3.954624,4.309625,25.5,True
19,3.929463,4.309716,25.57,False
20,3.903609,4.302305,25.47,True
21,3.879187,4.305191,25.43,False
22,3.855968,4.299699,25.93,True
23,3.835497,4.297461,25.3,True
24,3.815846,4.298287,25.63,False
25,3.788926,4.29647,25.8,True
26,3.759155,4.291624,25.7,True
27,3.747007,4.294807,25.73,False
28,3.736425,4.288908,26.1,True
29,3.704529,4.294939,25.67,False
30,3.688295,4.292701,25.8,False
31,3.668764,4.290667,25.67,False
32,3.655406,4.292939,26.13,False
33,3.634626,4.290063,25.4,False
34,3.613976,4.292489,25.83,False
35,3.598291,4.293822,25.97,False
36,3.578354,4.296805,25.87,False
37,3.549329,4.292101,25.8,False
38,3.533072,4.290624,25.9,False
39,3.523479,4.294823,26.17,False
40,3.518205,4.290622,25.83,False
41,3.504628,4.290037,25.6,False
42,3.504882,4.296119,25.9,False
43,3.491654,4.298024,25.87,False
44,3.481663,4.296648,25.9,False
45,3.467001,4.293352,25.77,False
46,3.458742,4.296002,25.7,False
47,3.455097,4.296048,25.6,False
48,3.450266,4.294046,25.57,False
