epoch,train_loss,val_loss,val_full_coverage@20,is_best
1,6.159762,5.697578,24.59,True
2,5.469092,5.112325,39.29,True
3,5.012975,4.790971,44.16,True
4,4.746821,4.621509,47.97,True
5,4.540254,4.526517,49.03,True
6,4.410004,4.453224,50.41,True
7,4.269192,4.406046,51.54,True
8,4.167096,4.369373,51.95,True
9,4.090719,4.348046,52.03,True
10,4.004397,4.327017,52.27,True
11,3.933406,4.302588,52.84,True
12,3.849686,4.295122,53.25,True
13,3.788846,4.281667,53.65,True
14,3.729561,4.273645,54.22,True
15,3.652335,4.267153,54.14,True
16,3.60756,4.262505,54.14,True
17,3.558095,4.256715,54.71,True
18,3.494557,4.248253,54.14,True
19,3.438576,4.250431,53.9,False
20,3.40237,4.245983,54.46,True
21,3.347951,4.248517,54.06,False
22,3.300296,4.243234,54.22,True
23,3.247531,4.244278,54.06,False
24,3.20977,4.244384,54.06,False
25,3.166887,4.24419,54.3,False
26,3.13859,4.244426,54.22,False
27,3.102409,4.245359,54.06,False
28,3.049618,4.248814,54.38,False
29,3.013117,4.249241,54.22,False
30,2.969035,4.256545,54.06,False
31,2.932359,4.250933,54.22,False
32,2.899314,4.255271,54.3,False
33,2.879644,4.25516,54.14,False
34,2.865663,4.257288,54.22,False
35,2.842295,4.257172,54.14,False
36,2.821145,4.260164,54.06,False
37,2.812002,4.262237,54.06,False
38,2.793709,4.263798,53.98,False
39,2.776765,4.260473,53.98,False
40,2.74213,4.261843,53.9,False
41,2.752582,4.262501,53.9,False
42,2.743273,4.263518,53.73,False
