epoch,train_loss,val_loss,val_full_coverage@20,is_best
1,4.320824,3.881733,29.37,True
2,3.882849,3.814247,31.56,True
3,3.788558,3.776449,32.57,True
4,3.726941,3.759436,32.79,True
5,3.681279,3.74414,32.72,True
6,3.636325,3.736348,33.43,True
7,3.594982,3.729484,33.4,True
8,3.556889,3.726968,33.8,True
9,3.520441,3.727754,33.52,False
10,3.480956,3.735009,33.84,False
11,3.446448,3.738076,33.91,False
12,3.411449,3.743342,33.86,False
13,3.380603,3.753455,34.09,False
14,3.349983,3.756694,34.21,False
15,3.320455,3.765355,34.16,False
16,3.285196,3.781916,33.85,False
17,3.21961,3.780395,34.09,False
18,3.201181,3.789069,34.04,False
19,3.189089,3.798647,33.75,False
20,3.170148,3.801043,34.02,False
21,3.145121,3.811403,34.08,False
22,3.136388,3.826137,33.9,False
23,3.120784,3.829775,34.27,False
24,3.104477,3.835957,33.77,False
25,3.06668,3.84198,34.21,False
26,3.048633,3.848347,34.13,False
27,3.049699,3.848741,34.21,False
28,3.034391,3.858595,34.05,False
