epoch,train_loss,val_loss,val_full_coverage@20,is_best
1,3.717285,3.113812,50.89,True
2,3.044834,2.758745,57.66,True
3,2.753404,2.588597,61.25,True
4,2.559924,2.460121,63.78,True
5,2.42579,2.365984,64.96,True
6,2.305031,2.295905,67.07,True
7,2.206202,2.232975,68.35,True
8,2.125598,2.175509,68.7,True
9,2.058886,2.137348,69.65,True
10,1.985611,2.094611,70.1,True
11,1.922651,2.062723,70.93,True
12,1.860684,2.035122,71.51,True
13,1.817611,2.007139,71.88,True
14,1.768647,1.978618,72.23,True
15,1.721498,1.969121,72.54,True
16,1.673738,1.936026,72.84,True
17,1.640799,1.918829,73.34,True
18,1.59209,1.899676,73.97,True
19,1.564145,1.888175,73.89,True
20,1.518421,1.875113,74.14,True
21,1.494101,1.861191,74.54,True
22,1.471142,1.851572,74.89,True
23,1.435999,1.838707,75.5,True
24,1.410582,1.829951,75.27,True
25,1.387849,1.824818,75.5,True
26,1.363876,1.817059,76.25,True
27,1.334519,1.805608,75.9,True
28,1.311584,1.791191,76.05,True
29,1.28536,1.783533,76.27,True
30,1.266238,1.783926,76.3,False
31,1.242737,1.77523,76.87,True
32,1.230673,1.771266,76.98,True
33,1.207802,1.760161,77.03,True
34,1.196156,1.756242,77.23,True
35,1.167974,1.757706,77.15,False
36,1.153725,1.748256,77.03,True
37,1.134285,1.749354,77.15,False
38,1.125335,1.734479,77.6,True
39,1.114861,1.734753,77.68,False
40,1.094752,1.727843,77.93,True
41,1.082795,1.734465,78.08,False
42,1.067262,1.730886,78.43,False
43,1.050227,1.723763,78.43,True
44,1.043419,1.723325,78.58,True
45,1.035996,1.717506,78.61,True
46,1.010849,1.723964,78.56,False
47,1.00577,1.718548,78.25,False
48,1.00058,1.714487,78.45,True
49,0.987261,1.718643,78.53,False
50,0.970015,1.710906,78.61,True
51,0.963607,1.714559,78.4,False
52,0.957438,1.712921,78.63,False
53,0.943622,1.712212,78.61,False
54,0.944711,1.705876,78.78,True
55,0.930781,1.702363,79.01,True
56,0.925154,1.709682,79.06,False
57,0.912328,1.708644,78.83,False
58,0.9041,1.704735,79.21,False
59,0.900254,1.701042,79.43,True
60,0.883892,1.702041,79.16,False
61,0.881206,1.704993,79.21,False
62,0.872636,1.697614,78.86,True
63,0.865927,1.695979,79.13,True
64,0.860039,1.706006,79.41,False
65,0.84798,1.700782,78.96,False
66,0.847155,1.699354,79.11,False
67,0.831796,1.701799,78.83,False
68,0.840786,1.699153,79.18,False
69,0.830453,1.701243,78.98,False
70,0.817798,1.694137,79.23,True
71,0.809223,1.697024,78.98,False
72,0.814641,1.699371,79.46,False
73,0.801759,1.693949,79.26,True
74,0.798448,1.69388,79.31,True
75,0.791323,1.695174,79.18,False
76,0.793293,1.693211,79.03,True
77,0.778904,1.692982,79.41,True
78,0.776969,1.689524,79.28,True
79,0.775959,1.697362,78.98,False
80,0.76483,1.694712,78.81,False
81,0.764835,1.691581,78.88,False
82,0.759374,1.693694,78.98,False
83,0.754795,1.695556,79.16,False
84,0.752761,1.693019,79.38,False
85,0.75337,1.692438,78.83,False
86,0.744384,1.69197,79.11,False
87,0.724272,1.689753,79.28,False
88,0.713078,1.690386,79.41,False
89,0.711143,1.690331,79.36,False
90,0.707643,1.690644,79.21,False
91,0.70293,1.686812,79.31,True
92,0.701282,1.691111,79.41,False
93,0.701122,1.686785,79.48,True
94,0.697141,1.686855,79.36,False
95,0.692678,1.685372,79.23,True
96,0.696079,1.689121,79.06,False
97,0.688543,1.686885,79.26,False
98,0.681352,1.687028,79.48,False
99,0.685389,1.685243,79.43,True
100,0.688143,1.688629,79.18,False
