epoch,train_loss,val_loss,val_full_coverage@20,is_best
1,3.994067,3.429382,67.87,True
2,3.475845,3.264994,70.38,True
3,3.319687,3.172868,71.69,True
4,3.22152,3.105173,72.73,True
5,3.143904,3.055157,73.51,True
6,3.082442,3.010727,74.27,True
7,3.026483,2.976307,74.76,True
8,2.976518,2.948914,75.16,True
9,2.940921,2.926389,75.51,True
10,2.900465,2.903883,75.77,True
11,2.862766,2.886751,75.96,True
12,2.838555,2.871481,76.46,True
13,2.8083,2.855617,76.42,True
14,2.784919,2.843456,76.65,True
15,2.763669,2.836111,76.53,True
16,2.744314,2.829289,76.86,True
17,2.723227,2.818274,76.89,True
18,2.707447,2.812453,77.09,True
19,2.68872,2.804254,77.17,True
20,2.674619,2.801408,77.24,True
21,2.664113,2.791582,77.33,True
22,2.646262,2.790479,77.21,True
23,2.632502,2.787562,77.35,True
24,2.621785,2.781705,77.48,True
25,2.613484,2.778176,77.45,True
26,2.602752,2.775964,77.43,True
27,2.592758,2.771505,77.63,True
28,2.580903,2.772904,77.58,False
29,2.568317,2.766018,77.64,True
30,2.564659,2.767919,77.51,False
31,2.556156,2.760892,77.59,True
32,2.547888,2.760048,77.52,True
33,2.536662,2.757096,77.55,True
34,2.532307,2.755786,77.56,True
35,2.525408,2.754903,77.68,True
36,2.514322,2.752361,77.59,True
37,2.513104,2.753238,77.52,False
38,2.504785,2.750312,77.66,True
39,2.498564,2.747955,77.64,True
40,2.493711,2.7455,77.61,True
41,2.48752,2.748855,77.59,False
42,2.480317,2.744315,77.55,True
43,2.478283,2.744969,77.59,False
44,2.469164,2.740857,77.67,True
45,2.4709,2.738487,77.6,True
46,2.461121,2.73671,77.63,True
47,2.456599,2.73525,77.59,True
48,2.449929,2.738431,77.47,False
49,2.445369,2.735136,77.76,True
50,2.439992,2.736807,77.63,False
51,2.440714,2.736446,77.5,False
52,2.43644,2.73694,77.63,False
53,2.429874,2.734651,77.63,True
54,2.42621,2.733789,77.7,True
55,2.423151,2.732239,77.66,True
56,2.418114,2.73356,77.56,False
57,2.414844,2.731969,77.61,True
58,2.405113,2.732595,77.66,False
59,2.405739,2.731532,77.69,True
60,2.399415,2.726751,77.72,True
61,2.398925,2.728572,77.49,False
62,2.397582,2.728627,77.56,False
63,2.393239,2.728089,77.75,False
64,2.38831,2.729644,77.72,False
65,2.383736,2.728754,77.76,False
66,2.384119,2.731725,77.63,False
67,2.377023,2.728757,77.62,False
68,2.373942,2.727341,77.6,False
69,2.341821,2.724654,77.57,True
70,2.332034,2.724395,77.58,True
71,2.328588,2.724038,77.6,True
72,2.324462,2.724507,77.59,False
73,2.324049,2.724414,77.59,False
74,2.317428,2.722816,77.54,True
75,2.316397,2.725162,77.44,False
76,2.315334,2.723236,77.59,False
77,2.315523,2.722739,77.57,True
78,2.311596,2.723676,77.59,False
79,2.312609,2.722542,77.63,True
80,2.308336,2.722944,77.68,False
81,2.307327,2.723643,77.56,False
82,2.302649,2.724305,77.51,False
83,2.306117,2.723209,77.5,False
84,2.303111,2.724775,77.48,False
85,2.301429,2.724927,77.6,False
86,2.301699,2.726089,77.57,False
87,2.295891,2.724454,77.55,False
88,2.276459,2.724382,77.48,False
89,2.273196,2.72382,77.48,False
90,2.273762,2.723764,77.54,False
91,2.270247,2.722796,77.5,False
92,2.271574,2.724135,77.42,False
93,2.267019,2.72412,77.44,False
94,2.267923,2.724099,77.46,False
95,2.267614,2.724339,77.46,False
96,2.257102,2.722508,77.59,True
97,2.252061,2.72268,77.55,False
98,2.253641,2.723372,77.5,False
99,2.253707,2.722658,77.55,False
100,2.25278,2.723089,77.41,False
