epoch,train_loss,val_loss,val_full_coverage@20,is_best
1,4.435013,4.164252,19.47,True
2,4.038848,3.902188,30.53,True
3,3.779644,3.716104,37.47,True
4,3.592488,3.57397,41.93,True
5,3.407568,3.455423,44.53,True
6,3.262578,3.355996,46.4,True
7,3.099195,3.272892,48.27,True
8,2.968853,3.204263,49.73,True
9,2.823955,3.161063,50.93,True
10,2.741334,3.115481,51.53,True
11,2.608708,3.091795,53.07,True
12,2.532653,3.063545,53.8,True
13,2.410513,3.055399,54.2,True
14,2.318061,3.028625,54.87,True
15,2.227596,3.012436,54.73,True
16,2.147788,3.007149,55.53,True
17,2.098955,2.987024,56.8,True
18,2.031823,2.975017,56.47,True
19,1.966724,2.966929,56.4,True
20,1.893083,2.954311,57.33,True
21,1.845353,2.945789,56.8,True
22,1.776417,2.94242,57.73,True
23,1.735527,2.931286,57.67,True
24,1.673405,2.929642,57.73,True
25,1.642623,2.919363,56.6,True
26,1.590165,2.928399,57.87,False
27,1.528948,2.907918,57.93,True
28,1.506827,2.907042,57.73,True
29,1.439229,2.906056,57.6,True
30,1.426219,2.901334,57.53,True
31,1.369792,2.90032,57.8,True
32,1.32642,2.90378,58.33,False
33,1.293402,2.89732,57.93,True
34,1.246945,2.89448,58.27,True
35,1.222225,2.894636,58.47,False
36,1.199659,2.888496,58.27,True
37,1.169165,2.886467,58.47,True
38,1.138857,2.892322,58.33,False
39,1.111671,2.895859,58.27,False
40,1.081345,2.89877,58.53,False
41,1.056121,2.901149,57.93,False
42,1.015516,2.89597,58.27,False
43,1.005737,2.897615,57.73,False
44,0.970927,2.896144,58.33,False
45,0.948629,2.903117,58.27,False
46,0.93455,2.896303,58.67,False
47,0.914107,2.895712,58.47,False
48,0.908864,2.894897,58.53,False
49,0.895033,2.893509,58.33,False
50,0.879876,2.896103,58.33,False
51,0.875342,2.898357,58.67,False
52,0.86345,2.899277,58.33,False
53,0.845942,2.896835,58.53,False
54,0.849498,2.897982,58.6,False
55,0.818529,2.897486,58.73,False
56,0.817709,2.898876,58.6,False
57,0.817112,2.897903,58.53,False
