epoch,train_loss,val_loss,val_full_coverage@20,is_best
1,5.251527,5.178935,15.07,True
2,5.086708,5.071769,24.4,True
3,4.95946,4.967136,33.2,True
4,4.824821,4.848461,40.33,True
5,4.672931,4.716285,44.93,True
6,4.499316,4.567555,47.47,True
7,4.319247,4.42147,50.93,True
8,4.16052,4.310601,52.27,True
9,4.022514,4.237052,53.67,True
10,3.884255,4.190465,54.6,True
11,3.806345,4.151316,55.27,True
12,3.709482,4.124004,55.6,True
13,3.604817,4.095485,56.8,True
14,3.524287,4.075135,56.8,True
15,3.440543,4.052306,56.93,True
16,3.358803,4.036774,57.73,True
17,3.297508,4.021001,57.6,True
18,3.187321,4.005804,57.8,True
19,3.139751,3.998963,57.8,True
20,3.075187,3.985445,58.6,True
21,2.985906,3.985305,58.0,True
22,2.932435,3.973339,58.33,True
23,2.862854,3.967539,57.87,True
24,2.816112,3.961838,57.93,True
25,2.747248,3.955885,57.53,True
26,2.689059,3.95413,57.33,True
27,2.643582,3.951142,57.87,True
28,2.569994,3.945925,57.8,True
29,2.529504,3.947689,57.53,False
30,2.469128,3.948236,57.4,False
31,2.424479,3.945549,57.47,True
32,2.397744,3.944748,57.27,True
33,2.334042,3.946192,57.53,False
34,2.302759,3.944166,57.4,True
35,2.252661,3.943697,57.73,True
36,2.215692,3.942076,57.8,True
37,2.171031,3.9458,57.6,False
38,2.124268,3.948345,57.33,False
39,2.069562,3.948576,57.67,False
40,2.049599,3.950211,57.53,False
41,1.995699,3.951519,57.73,False
42,1.96648,3.952134,57.2,False
43,1.942095,3.954983,57.27,False
44,1.900276,3.954848,57.53,False
45,1.835188,3.956544,57.27,False
46,1.832225,3.958637,57.2,False
47,1.808059,3.960448,57.33,False
48,1.798139,3.959744,57.27,False
49,1.783203,3.960993,57.2,False
50,1.753048,3.959198,57.0,False
51,1.749583,3.959162,57.27,False
52,1.735918,3.962452,57.13,False
53,1.710137,3.963049,57.07,False
54,1.684327,3.962878,57.07,False
55,1.689693,3.962894,57.0,False
56,1.686844,3.963736,57.07,False
