dataset,method,tau,split,total_queries,recall@1,recall@3,recall@5,recall@10,recall@20,gt_recall@1,gt_recall@3,gt_recall@5,gt_recall@10,gt_recall@20,precision@1,precision@3,precision@5,precision@10,precision@20,f1@1,f1@3,f1@5,f1@10,f1@20,ndcg@1,ndcg@3,ndcg@5,ndcg@10,ndcg@20,mrr,full_coverage@20,avg_gt_partitions,min_gt_partitions,max_gt_partitions,median_gt_partitions,std_gt_partitions,avg_first_hit_pos,median_first_hit_pos,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
2wiki,mlp_info_nce_multi_tau_0.01,0.01,train,10500,29.71,50.45,61.28,75.48,88.66,20.86,36.79,46.06,59.05,73.62,29.71,18.57,14.32,9.49,6.1,23.66,23.84,21.22,16.03,11.14,29.71,33.45,37.72,42.64,46.98,44.06,58.39,1.75,1,4,2.0,0.74,4.33,2.0,0.3,0.3,0.32,0.37
2wiki,mlp_info_nce_multi_tau_0.01,0.01,val,3000,21.43,40.73,51.3,66.53,82.47,14.65,29.4,38.3,51.76,68.23,21.43,15.02,12.02,8.34,5.7,16.81,19.23,17.79,14.1,10.39,21.43,25.84,29.96,34.97,39.89,35.29,53.9,1.75,1,4,2.0,0.73,4.69,2.0,0.31,0.3,0.32,0.37
2wiki,mlp_info_nce_multi_tau_0.01,0.01,test,1500,21.8,42.53,52.2,67.67,82.47,14.88,30.95,39.1,53.12,67.78,21.8,15.76,12.33,8.62,5.69,17.09,20.15,18.21,14.54,10.37,21.8,27.0,30.78,36.02,40.4,36.07,52.8,1.76,1,4,2.0,0.75,4.6,2.0,0.31,0.3,0.33,0.43
2wiki,mlp_info_nce_multi_tau_0.05,0.05,train,10500,32.13,53.28,63.38,77.3,89.82,22.34,38.69,47.44,60.61,74.67,32.13,19.56,14.75,9.73,6.19,25.42,25.09,21.86,16.44,11.29,32.13,35.42,39.42,44.4,48.62,46.4,59.15,1.75,1,4,2.0,0.74,4.17,2.0,0.3,0.29,0.32,0.35
2wiki,mlp_info_nce_multi_tau_0.05,0.05,val,3000,21.67,41.63,52.07,67.53,82.9,14.54,30.16,38.83,52.66,68.27,21.67,15.39,12.15,8.49,5.71,16.78,19.69,17.99,14.34,10.42,21.67,26.38,30.35,35.53,40.22,35.91,53.3,1.75,1,4,2.0,0.73,4.63,2.0,0.3,0.3,0.32,0.39
2wiki,mlp_info_nce_multi_tau_0.05,0.05,test,1500,23.6,41.67,53.13,68.07,82.93,16.06,30.64,39.91,53.02,68.58,23.6,15.49,12.57,8.61,5.76,18.43,19.89,18.57,14.53,10.5,23.6,27.38,31.71,36.67,41.3,37.12,53.93,1.76,1,4,2.0,0.75,4.6,2.0,0.31,0.3,0.33,0.49
2wiki,mlp_info_nce_multi_tau_0.07,0.07,train,10500,37.68,60.71,70.36,83.27,93.51,26.24,44.08,52.6,65.01,77.86,37.68,22.27,16.32,10.4,6.43,29.85,28.58,24.21,17.58,11.74,37.68,40.73,44.61,49.31,53.2,52.41,61.71,1.75,1,4,2.0,0.74,3.84,2.0,0.3,0.29,0.32,0.36
2wiki,mlp_info_nce_multi_tau_0.07,0.07,val,3000,22.57,43.3,52.53,67.67,83.17,15.24,31.11,39.4,52.88,68.64,22.57,15.92,12.37,8.58,5.75,17.57,20.37,18.31,14.48,10.48,22.57,27.34,31.15,36.22,40.91,36.86,53.77,1.75,1,4,2.0,0.73,4.61,2.0,0.3,0.3,0.32,0.35
2wiki,mlp_info_nce_multi_tau_0.07,0.07,test,1500,24.87,43.6,53.67,67.87,83.27,16.67,31.64,40.46,53.51,68.42,24.87,16.33,12.75,8.75,5.76,19.26,20.8,18.83,14.74,10.5,24.87,28.49,32.51,37.49,41.95,38.39,53.33,1.76,1,4,2.0,0.75,4.49,2.0,0.3,0.3,0.32,0.46
2wiki,mlp_info_nce_multi_tau_0.1,0.1,train,10500,31.56,52.98,63.61,77.74,90.07,21.95,38.4,47.54,60.66,74.63,31.56,19.52,14.83,9.75,6.18,24.99,24.99,21.96,16.47,11.27,31.56,35.07,39.24,44.2,48.39,46.07,58.84,1.75,1,4,2.0,0.74,4.19,2.0,0.31,0.3,0.32,0.4
2wiki,mlp_info_nce_multi_tau_0.1,0.1,val,3000,21.57,41.57,51.37,67.2,83.07,14.57,29.71,38.35,52.28,67.99,21.57,15.23,12.07,8.43,5.69,16.79,19.47,17.85,14.24,10.37,21.57,26.09,30.05,35.28,39.98,35.69,52.63,1.75,1,4,2.0,0.73,4.7,2.0,0.3,0.29,0.32,0.33
2wiki,mlp_info_nce_multi_tau_0.1,0.1,test,1500,24.0,44.73,54.07,67.33,83.0,16.43,32.41,40.74,52.93,67.92,24.0,16.56,12.8,8.63,5.72,18.82,21.18,18.93,14.55,10.41,24.0,28.63,32.45,37.09,41.58,37.87,52.8,1.76,1,4,2.0,0.75,4.51,2.0,0.3,0.29,0.32,0.34
2wiki,mlp_info_nce_multi_tau_0.2,0.2,train,10500,27.44,47.6,57.34,72.29,87.01,19.1,34.63,43.2,56.44,71.35,27.44,17.44,13.41,9.05,5.92,21.74,22.41,19.9,15.29,10.8,27.44,31.25,35.17,40.15,44.63,41.45,55.58,1.75,1,4,2.0,0.74,4.52,2.0,0.3,0.29,0.32,0.35
2wiki,mlp_info_nce_multi_tau_0.2,0.2,val,3000,19.87,39.07,50.0,65.13,81.13,13.5,27.88,37.1,50.56,66.09,19.87,14.34,11.63,8.18,5.52,15.52,18.31,17.23,13.81,10.06,19.87,24.49,28.68,33.72,38.34,33.87,50.73,1.75,1,4,2.0,0.73,4.71,2.0,0.3,0.29,0.32,0.34
2wiki,mlp_info_nce_multi_tau_0.2,0.2,test,1500,20.93,40.8,51.33,65.93,82.27,14.48,29.52,37.86,51.53,66.73,20.93,15.07,12.01,8.43,5.64,16.54,19.28,17.73,14.2,10.26,20.93,25.88,29.77,34.9,39.45,35.05,51.07,1.76,1,4,2.0,0.75,4.71,2.0,0.3,0.29,0.32,0.33
2wiki,mlp_info_nce_multi_tau_0.5,0.5,train,10500,21.56,40.49,50.92,65.61,82.26,15.14,29.47,38.43,51.03,67.02,21.56,14.85,11.93,8.21,5.59,17.17,19.09,17.71,13.87,10.19,21.56,26.07,30.19,34.94,39.7,35.29,51.72,1.75,1,4,2.0,0.74,4.77,2.0,0.3,0.29,0.32,0.36
2wiki,mlp_info_nce_multi_tau_0.5,0.5,val,3000,17.3,35.7,46.93,62.73,80.37,11.87,25.67,35.12,48.35,65.37,17.3,13.04,10.94,7.81,5.45,13.63,16.73,16.23,13.2,9.95,17.3,22.14,26.48,31.45,36.48,31.12,50.13,1.75,1,4,2.0,0.73,4.99,3.0,0.3,0.3,0.32,0.37
2wiki,mlp_info_nce_multi_tau_0.5,0.5,test,1500,18.67,37.33,49.33,63.0,80.73,12.69,26.83,36.63,49.06,65.22,18.67,13.67,11.45,7.97,5.46,14.58,17.52,16.96,13.43,9.95,18.67,23.33,27.83,32.52,37.35,32.59,49.87,1.76,1,4,2.0,0.75,4.84,3.0,0.3,0.3,0.32,0.35
2wiki,mlp_kl_div_tau_0.01,0.01,train,10500,32.13,53.72,64.45,77.81,90.3,22.76,39.88,49.52,62.28,77.28,32.13,19.9,15.26,9.94,6.42,25.72,25.65,22.67,16.82,11.71,32.13,36.19,40.62,45.46,50.01,46.6,63.78,1.75,1,4,2.0,0.74,4.19,2.0,0.3,0.3,0.32,0.35
2wiki,mlp_kl_div_tau_0.01,0.01,val,3000,21.43,40.77,51.47,67.9,83.83,14.6,29.35,38.36,52.82,69.17,21.43,15.16,12.11,8.55,5.78,16.78,19.32,17.89,14.44,10.54,21.43,25.97,30.11,35.53,40.39,35.69,54.17,1.75,1,4,2.0,0.73,4.78,3.0,0.3,0.3,0.33,0.36
2wiki,mlp_kl_div_tau_0.01,0.01,test,1500,23.33,42.73,54.53,69.93,82.0,16.06,31.05,40.88,54.77,67.83,23.33,15.71,12.8,8.84,5.68,18.34,20.11,18.92,14.92,10.35,23.33,27.54,32.07,37.29,41.22,37.31,53.6,1.76,1,4,2.0,0.75,4.21,2.0,0.31,0.3,0.32,0.5
2wiki,mlp_kl_div_tau_0.05,0.05,train,10500,27.51,48.84,58.79,73.83,87.67,19.49,36.03,44.87,58.55,73.86,27.51,18.14,13.94,9.4,6.14,22.04,23.31,20.67,15.88,11.2,27.51,32.24,36.31,41.48,46.07,42.01,59.82,1.75,1,4,2.0,0.74,4.43,2.0,0.31,0.3,0.32,0.37
2wiki,mlp_kl_div_tau_0.05,0.05,val,3000,21.6,42.07,52.53,67.3,82.43,14.89,30.41,39.48,52.42,68.2,21.6,15.5,12.38,8.46,5.67,17.03,19.85,18.33,14.29,10.35,21.6,26.61,30.82,35.67,40.35,35.92,53.93,1.75,1,4,2.0,0.73,4.57,2.0,0.3,0.3,0.32,0.39
2wiki,mlp_kl_div_tau_0.05,0.05,test,1500,22.6,41.73,53.07,67.73,83.0,15.36,30.39,39.78,52.68,68.53,22.6,15.47,12.47,8.54,5.73,17.64,19.81,18.46,14.41,10.45,22.6,26.85,31.17,36.01,40.72,36.44,54.07,1.76,1,4,2.0,0.75,4.65,2.0,0.31,0.3,0.33,0.37
2wiki,mlp_kl_div_tau_0.07,0.07,train,10500,34.2,57.04,67.64,81.43,92.33,24.52,42.37,51.96,65.48,79.34,34.2,21.16,16.04,10.48,6.58,27.59,27.26,23.81,17.72,12.01,34.2,38.6,43.03,48.17,52.37,49.2,65.96,1.75,1,4,2.0,0.74,4.02,2.0,0.3,0.3,0.32,0.38
2wiki,mlp_kl_div_tau_0.07,0.07,val,3000,21.9,42.5,52.6,67.73,84.37,14.86,30.48,39.39,52.99,69.45,21.9,15.64,12.35,8.57,5.8,17.1,19.99,18.28,14.47,10.57,21.9,26.71,30.8,35.91,40.8,36.29,54.3,1.75,1,4,2.0,0.73,4.81,3.0,0.3,0.29,0.32,0.33
