dataset,method,tau,split,total_queries,recall@1,recall@3,recall@5,recall@10,recall@20,gt_recall@1,gt_recall@3,gt_recall@5,gt_recall@10,gt_recall@20,precision@1,precision@3,precision@5,precision@10,precision@20,f1@1,f1@3,f1@5,f1@10,f1@20,ndcg@1,ndcg@3,ndcg@5,ndcg@10,ndcg@20,mrr,full_coverage@20,avg_gt_partitions,min_gt_partitions,max_gt_partitions,median_gt_partitions,std_gt_partitions,avg_first_hit_pos,median_first_hit_pos,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
metaqa,mlp_info_nce_multi_tau_0.01,0.01,train,285259,62.52,82.23,88.88,95.44,99.19,32.26,51.64,61.55,75.39,89.34,62.52,40.75,32.55,23.36,16.39,37.1,36.9,34.05,28.89,23.3,62.52,62.27,63.8,66.69,70.89,73.98,72.25,4.25,1,40,2.0,5.57,2.41,1.0,0.3,0.28,0.32,0.48
metaqa,mlp_info_nce_multi_tau_0.01,0.01,val,81502,50.48,70.47,78.6,87.87,95.65,23.77,41.95,52.29,67.79,85.15,50.48,35.7,29.54,22.14,16.07,27.84,30.95,29.97,26.91,22.7,50.48,51.66,53.7,57.37,62.55,63.01,67.94,4.26,1,39,2.0,5.61,3.18,1.0,0.29,0.28,0.32,0.34
metaqa,mlp_info_nce_multi_tau_0.01,0.01,test,40752,50.01,70.15,78.23,87.9,95.71,23.65,41.68,52.04,67.74,85.1,50.01,35.52,29.41,22.03,16.02,27.66,30.78,29.87,26.86,22.68,50.01,51.34,53.37,57.11,62.33,62.63,67.77,4.25,1,39,2.0,5.55,3.22,1.0,0.29,0.28,0.32,0.34
metaqa,mlp_info_nce_multi_tau_0.01,0.01,test_hop1,11653,35.26,54.69,64.99,78.91,92.01,28.77,45.98,55.7,70.25,86.12,35.26,19.79,14.8,9.77,6.35,30.42,26.2,22.15,16.35,11.39,35.26,41.56,45.49,50.5,55.07,48.9,78.43,1.58,1,20,1.0,1.43,4.3,2.0,0.29,0.28,0.32,0.37
metaqa,mlp_info_nce_multi_tau_0.01,0.01,test_hop2,14817,43.67,65.59,74.92,86.38,95.35,23.34,41.03,50.98,66.36,83.67,43.67,29.63,23.91,17.54,12.67,26.85,28.68,26.89,23.18,19.0,43.67,45.73,48.35,52.85,58.18,57.61,66.16,3.49,1,39,2.0,4.6,3.55,2.0,0.29,0.28,0.32,0.34
metaqa,mlp_info_nce_multi_tau_0.01,0.01,test_hop3,14282,68.64,87.49,92.48,96.82,99.09,19.79,38.85,50.14,67.13,85.75,68.64,54.46,47.06,36.7,27.37,26.23,36.7,39.26,39.26,35.71,68.64,65.14,65.0,66.91,72.56,79.05,60.74,7.21,1,38,5.0,7.01,1.99,1.0,0.29,0.28,0.32,0.35
metaqa,mlp_info_nce_multi_tau_0.05,0.05,train,285259,59.19,79.33,86.71,94.17,98.81,29.91,49.37,59.82,74.28,88.99,59.19,39.78,32.23,23.3,16.37,34.54,35.6,33.45,28.71,23.26,59.19,59.73,61.6,64.72,69.08,71.15,70.81,4.25,1,40,2.0,5.57,2.62,1.0,0.3,0.28,0.32,0.48
metaqa,mlp_info_nce_multi_tau_0.05,0.05,val,81502,49.48,69.53,77.79,87.49,95.51,23.15,41.4,51.8,67.4,84.87,49.48,35.51,29.58,22.14,16.03,27.15,30.63,29.88,26.85,22.63,49.48,51.04,53.18,56.85,61.99,62.12,66.38,4.26,1,39,2.0,5.61,3.25,1.0,0.29,0.28,0.32,0.35
metaqa,mlp_info_nce_multi_tau_0.05,0.05,test,40752,49.06,69.47,77.75,87.43,95.57,22.93,41.26,51.82,67.33,84.81,49.06,35.47,29.57,22.08,15.95,26.88,30.58,29.9,26.86,22.59,49.06,50.83,52.99,56.62,61.79,61.84,66.09,4.25,1,39,2.0,5.55,3.28,1.0,0.29,0.28,0.32,0.39
metaqa,mlp_info_nce_multi_tau_0.05,0.05,test_hop1,11653,34.47,54.41,64.67,78.37,91.7,27.89,45.52,55.41,69.85,85.99,34.47,19.85,14.9,9.83,6.36,29.55,26.06,22.15,16.39,11.4,34.47,41.05,44.99,49.95,54.57,48.28,78.43,1.58,1,20,1.0,1.43,4.31,2.0,0.29,0.28,0.32,0.37
metaqa,mlp_info_nce_multi_tau_0.05,0.05,test_hop2,14817,42.71,64.86,74.35,85.78,95.24,22.72,40.67,50.65,66.02,83.54,42.71,29.63,24.1,17.7,12.75,26.16,28.47,26.88,23.27,19.07,42.71,45.32,48.02,52.46,57.79,56.77,65.61,3.49,1,39,2.0,4.6,3.64,2.0,0.29,0.28,0.31,0.33
metaqa,mlp_info_nce_multi_tau_0.05,0.05,test_hop3,14282,67.55,86.53,91.94,96.53,99.08,19.1,38.39,50.1,66.63,85.17,67.55,54.28,47.22,36.62,27.11,25.45,36.45,39.37,39.11,35.37,67.55,64.53,64.67,66.38,71.82,78.18,56.51,7.21,1,38,5.0,7.01,2.06,1.0,0.29,0.28,0.32,0.36
metaqa,mlp_info_nce_multi_tau_0.07,0.07,train,285259,56.72,77.34,85.15,93.28,98.53,28.15,47.64,58.49,73.41,88.5,56.72,38.83,31.87,23.21,16.3,32.64,34.53,32.92,28.52,23.15,56.72,57.7,59.87,63.2,67.63,69.11,69.33,4.25,1,40,2.0,5.57,2.77,1.0,0.29,0.28,0.32,0.35
metaqa,mlp_info_nce_multi_tau_0.07,0.07,val,81502,48.08,68.5,76.8,86.82,95.25,22.23,40.43,51.04,66.81,84.43,48.08,34.96,29.36,22.09,15.97,26.15,30.05,29.57,26.74,22.53,48.08,49.89,52.21,56.0,61.15,60.95,64.98,4.26,1,39,2.0,5.61,3.34,1.0,0.32,0.28,0.33,1.03
metaqa,mlp_info_nce_multi_tau_0.07,0.07,test,40752,47.59,68.29,76.94,86.82,95.34,21.87,40.28,50.99,66.6,84.5,47.59,34.81,29.29,21.97,15.92,25.77,29.94,29.56,26.68,22.53,47.59,49.58,51.93,55.66,60.94,60.65,64.99,4.25,1,39,2.0,5.55,3.36,1.0,0.29,0.28,0.31,0.34
metaqa,mlp_info_nce_multi_tau_0.07,0.07,test_hop1,11653,32.33,52.98,63.4,77.28,91.45,25.86,44.21,54.27,68.74,86.02,32.33,19.35,14.67,9.75,6.41,27.48,25.4,21.81,16.24,11.48,32.33,39.38,43.43,48.43,53.36,46.57,78.59,1.58,1,20,1.0,1.43,4.45,2.0,0.29,0.28,0.31,0.34
metaqa,mlp_info_nce_multi_tau_0.07,0.07,test_hop2,14817,41.44,63.53,73.63,85.24,94.97,21.81,39.64,49.95,65.36,83.44,41.44,29.08,23.94,17.61,12.8,25.19,27.86,26.64,23.13,19.13,41.44,44.19,47.13,51.63,57.15,55.7,65.23,3.49,1,39,2.0,4.6,3.71,2.0,0.29,0.28,0.31,0.34
metaqa,mlp_info_nce_multi_tau_0.07,0.07,test_hop3,14282,66.41,85.73,91.42,96.23,98.9,18.69,37.74,49.41,66.13,84.35,66.41,53.37,46.78,36.47,26.92,24.96,35.8,38.93,38.9,35.08,66.41,63.5,63.85,65.76,71.07,77.28,53.63,7.21,1,38,5.0,7.01,2.1,1.0,0.29,0.28,0.32,0.39
metaqa,mlp_info_nce_multi_tau_0.1,0.1,train,285259,54.35,75.29,83.39,92.25,98.13,26.52,45.91,56.88,72.42,87.82,54.35,37.88,31.35,23.07,16.19,30.86,33.45,32.22,28.28,22.99,54.35,55.71,58.02,61.62,66.11,67.1,67.95,4.25,1,40,2.0,5.57,2.91,1.0,0.29,0.28,0.32,0.46
metaqa,mlp_info_nce_multi_tau_0.1,0.1,val,81502,46.59,67.14,75.66,86.09,94.87,21.45,39.42,50.08,66.09,83.69,46.59,34.23,28.98,21.93,15.82,25.25,29.34,29.11,26.52,22.32,46.59,48.65,51.1,55.03,60.14,59.63,63.61,4.26,1,39,2.0,5.61,3.42,1.0,0.29,0.28,0.31,0.35
metaqa,mlp_info_nce_multi_tau_0.1,0.1,test,40752,46.36,66.9,75.7,86.24,94.88,21.05,39.16,50.03,66.07,83.66,46.36,34.11,28.95,21.9,15.78,24.87,29.2,29.11,26.54,22.32,46.36,48.37,50.86,54.79,59.93,59.48,63.24,4.25,1,39,2.0,5.55,3.42,1.0,0.29,0.28,0.31,0.34
metaqa,mlp_info_nce_multi_tau_0.1,0.1,test_hop1,11653,30.27,50.85,61.77,76.62,90.66,24.2,42.37,52.64,68.13,85.05,30.27,18.55,14.2,9.63,6.34,25.72,24.31,21.1,16.04,11.35,30.27,37.54,41.66,47.0,51.83,44.72,77.51,1.58,1,20,1.0,1.43,4.52,2.0,0.29,0.28,0.31,0.34
metaqa,mlp_info_nce_multi_tau_0.1,0.1,test_hop2,14817,40.66,62.21,72.11,84.52,94.46,21.33,38.61,48.87,64.54,82.69,40.66,28.4,23.53,17.47,12.73,24.65,27.16,26.12,22.89,19.01,40.66,43.16,46.14,50.75,56.29,54.68,63.97,3.49,1,39,2.0,4.6,3.77,2.0,0.29,0.28,0.31,0.35
metaqa,mlp_info_nce_multi_tau_0.1,0.1,test_hop3,14282,65.42,84.88,90.79,95.86,98.75,18.19,37.11,49.11,65.99,83.52,65.42,52.73,46.6,36.5,26.66,24.41,35.3,38.76,38.9,34.71,65.42,62.62,63.27,65.33,70.3,76.49,50.85,7.21,1,38,5.0,7.01,2.15,1.0,0.29,0.28,0.31,0.38
metaqa,mlp_info_nce_multi_tau_0.2,0.2,train,285259,50.8,71.02,79.88,90.13,97.21,24.27,42.21,53.31,70.29,86.61,50.8,35.58,29.98,22.69,16.05,28.39,31.02,30.5,27.71,22.76,50.8,51.82,54.38,58.68,63.43,63.61,66.57,4.25,1,40,2.0,5.57,3.18,1.0,0.29,0.28,0.31,0.33
metaqa,mlp_info_nce_multi_tau_0.2,0.2,val,81502,44.26,63.79,72.85,84.22,94.02,19.99,36.53,47.14,64.31,82.59,44.26,32.46,27.83,21.63,15.69,23.64,27.44,27.69,26.06,22.11,44.26,45.78,48.33,52.83,58.13,57.16,62.26,4.26,1,39,2.0,5.61,3.62,1.0,0.29,0.28,0.31,0.34
metaqa,mlp_info_nce_multi_tau_0.2,0.2,test,40752,43.85,63.66,72.5,84.3,94.02,19.64,36.28,46.85,64.12,82.41,43.85,32.3,27.71,21.51,15.61,23.26,27.31,27.59,25.98,22.06,43.85,45.41,47.92,52.44,57.79,56.83,61.83,4.25,1,39,2.0,5.55,3.63,2.0,0.29,0.29,0.31,0.33
metaqa,mlp_info_nce_multi_tau_0.2,0.2,test_hop1,11653,27.22,46.85,57.57,73.76,89.04,21.63,38.55,48.69,65.0,83.3,27.22,17.01,13.25,9.21,6.22,23.03,22.22,19.62,15.34,11.13,27.22,34.03,38.13,43.75,48.98,41.43,75.75,1.58,1,20,1.0,1.43,4.72,2.0,0.29,0.28,0.32,0.34
