dataset,method,tau,split,total_queries,recall@1,recall@3,recall@5,recall@10,recall@20,gt_recall@1,gt_recall@3,gt_recall@5,gt_recall@10,gt_recall@20,precision@1,precision@3,precision@5,precision@10,precision@20,f1@1,f1@3,f1@5,f1@10,f1@20,ndcg@1,ndcg@3,ndcg@5,ndcg@10,ndcg@20,mrr,full_coverage@20,avg_gt_partitions,min_gt_partitions,max_gt_partitions,median_gt_partitions,std_gt_partitions,avg_first_hit_pos,median_first_hit_pos,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
squad,mlp_info_nce_multi_tau_0.01,0.01,train,91223,80.73,93.98,97.21,99.48,100.0,80.25,93.62,96.95,99.36,100.0,80.73,31.49,19.59,10.05,5.06,80.41,47.06,32.55,18.24,9.64,80.73,88.33,89.73,90.54,90.71,87.82,100.0,1.01,1,2,1.0,0.11,1.49,1.0,0.31,0.3,0.33,0.47
squad,mlp_info_nce_multi_tau_0.01,0.01,val,26063,67.21,84.44,90.4,96.67,100.0,66.77,84.1,90.12,96.52,100.0,67.21,28.31,18.23,9.78,5.07,66.92,42.3,30.28,17.74,9.65,67.21,77.1,79.6,81.7,82.62,77.34,100.0,1.01,1,2,1.0,0.12,2.27,1.0,0.33,0.3,0.44,1.06
squad,mlp_info_nce_multi_tau_0.01,0.01,test,13033,68.13,85.27,91.02,97.08,100.0,67.75,84.93,90.75,96.94,100.0,68.13,28.57,18.34,9.81,5.07,67.88,42.7,30.48,17.8,9.64,68.13,78.01,80.42,82.46,83.26,78.15,100.0,1.01,1,2,1.0,0.12,2.2,1.0,0.34,0.3,0.5,1.12
squad,mlp_info_nce_multi_tau_0.05,0.05,train,91223,79.59,93.35,96.83,99.37,100.0,79.13,92.99,96.57,99.25,100.0,79.59,31.28,19.51,10.04,5.06,79.28,46.75,32.43,18.22,9.64,79.59,87.52,89.01,89.91,90.11,87.03,100.0,1.01,1,2,1.0,0.11,1.53,1.0,0.31,0.3,0.33,0.54
squad,mlp_info_nce_multi_tau_0.05,0.05,val,26063,67.34,84.59,90.3,96.77,100.0,66.9,84.21,90.0,96.64,100.0,67.34,28.35,18.2,9.79,5.07,67.05,42.36,30.24,17.76,9.65,67.34,77.22,79.63,81.81,82.69,77.45,100.0,1.01,1,2,1.0,0.12,2.26,1.0,0.3,0.29,0.33,0.34
squad,mlp_info_nce_multi_tau_0.05,0.05,test,13033,67.8,85.27,91.38,97.08,100.0,67.41,84.97,91.11,96.97,100.0,67.8,28.58,18.41,9.82,5.07,67.54,42.71,30.59,17.81,9.64,67.8,77.83,80.38,82.32,83.12,77.94,100.0,1.01,1,2,1.0,0.12,2.19,1.0,0.32,0.3,0.34,1.03
squad,mlp_info_nce_multi_tau_0.07,0.07,train,91223,78.04,92.78,96.44,99.23,100.0,77.58,92.42,96.17,99.11,100.0,78.04,31.09,19.43,10.03,5.06,77.73,46.46,32.29,18.2,9.64,78.04,86.53,88.1,89.08,89.32,85.99,100.0,1.01,1,2,1.0,0.11,1.59,1.0,0.32,0.3,0.33,0.96
squad,mlp_info_nce_multi_tau_0.07,0.07,val,26063,66.97,84.07,90.44,96.73,100.0,66.54,83.72,90.15,96.6,100.0,66.97,28.18,18.23,9.79,5.07,66.68,42.1,30.29,17.76,9.65,66.97,76.81,79.48,81.6,82.5,77.18,100.0,1.01,1,2,1.0,0.12,2.27,1.0,0.3,0.29,0.33,0.34
squad,mlp_info_nce_multi_tau_0.07,0.07,test,13033,67.67,84.65,90.73,96.99,100.0,67.28,84.31,90.46,96.86,100.0,67.67,28.37,18.28,9.81,5.07,67.41,42.4,30.38,17.79,9.64,67.67,77.41,79.96,82.07,82.89,77.67,100.0,1.01,1,2,1.0,0.12,2.23,1.0,0.3,0.29,0.32,0.33
squad,mlp_info_nce_multi_tau_0.1,0.1,train,91223,83.28,95.65,98.22,99.73,100.0,82.78,95.3,97.96,99.62,100.0,83.28,32.06,19.8,10.08,5.06,82.95,47.91,32.9,18.29,9.64,83.28,90.42,91.53,92.1,92.2,89.77,100.0,1.01,1,2,1.0,0.11,1.37,1.0,0.3,0.29,0.32,0.34
